(iter 5) [0.0, -0.0574, -0.2489] = 448.8203, sampling [0.0, -0.0678, 0.0496]. Recommendation = [0.0, -0.0574, -0.2489], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.1141, 0.2209]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, -0.0849, 0.1955]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, -0.0075, 0.4612]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.2322, 0.4917]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.1338, 0.3468]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.4259, -0.0002]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.3760, -0.1601]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.5079, 0.3763]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.3579, 0.6624]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.1059, -0.3890]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.4745, 1.2170]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.5300, 0.5324]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.3374, -0.3065]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.6941, 0.9180]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.6131, 0.5930]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 20000.00, Rho = -1.230
(iter 5) [0.0, -0.0678, 0.0496] = 454.9570, sampling [0.0, 0.5867, 0.3657]. Recommendation = [0.0, -0.0678, 0.0496], Current Cost = 21000.00, Rho = -1.230
(iter 21) [0.0, 0.5867, 0.3657] = 456.0831, sampling [0.0, 0.7718, 1.2516]. Recommendation = [0.0, 0.5867, 0.3657], Current Cost = 22000.00, Rho = -1.230
(iter 21) [0.0, 0.5867, 0.3657] = 456.0831, sampling [0.0, 0.8365, 0.8657]. Recommendation = [0.0, 0.5867, 0.3657], Current Cost = 23000.00, Rho = -1.230
(iter 21) [0.0, 0.5867, 0.3657] = 456.0831, sampling [0.0, 0.5232, 0.4431]. Recommendation = [0.0, 0.5867, 0.3657], Current Cost = 24000.00, Rho = -1.230
(iter 21) [0.0, 0.5867, 0.3657] = 456.0831, sampling [0.0, -0.0196, 0.7809]. Recommendation = [0.0, 0.5867, 0.3657], Current Cost = 25000.00, Rho = -1.230
(iter 21) [0.0, 0.5867, 0.3657] = 456.0831, sampling [0.0, 0.2206, 0.6424]. Recommendation = [0.0, 0.5867, 0.3657], Current Cost = 26000.00, Rho = -1.230
(iter 21) [0.0, 0.5867, 0.3657] = 456.0831, sampling [0.0, -0.2586, -0.3209]. Recommendation = [0.0, 0.5867, 0.3657], Current Cost = 27000.00, Rho = -1.230
