(iter 5) [0.0, -1.0777, -0.2467] = 253.6829, sampling [0.0, -0.8527, -0.1164]. Recommendation = [0.0, -1.0777, -0.2467], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.8527, -0.1164] = 381.7169, sampling [0.0, -0.8043, -0.0482]. Recommendation = [0.0, -0.8527, -0.1164], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.8043, -0.0482] = 404.7190, sampling [0.0, -0.5245, 0.0100]. Recommendation = [0.0, -0.8043, -0.0482], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.5245, 0.0100] = 446.9498, sampling [0.0, -0.2335, -0.0039]. Recommendation = [0.0, -0.5245, 0.0100], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.2335, -0.0039] = 454.4368, sampling [0.0, -0.3144, 0.3082]. Recommendation = [0.0, -0.2335, -0.0039], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, -0.2335, -0.0039] = 454.4368, sampling [0.0, -0.4546, 0.4146]. Recommendation = [0.0, -0.2335, -0.0039], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, -0.2335, -0.0039] = 454.4368, sampling [0.0, -0.4811, 0.4643]. Recommendation = [0.0, -0.2335, -0.0039], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, -0.2335, -0.0039] = 454.4368, sampling [0.0, -0.7461, 0.1940]. Recommendation = [0.0, -0.2335, -0.0039], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, -0.2335, -0.0039] = 454.4368, sampling [0.0, -0.0484, 0.5226]. Recommendation = [0.0, -0.2335, -0.0039], Current Cost = 13000.00, Rho = -1.230
(iter 8) [0.0, -0.2335, -0.0039] = 454.4368, sampling [0.0, -0.3377, 0.6588]. Recommendation = [0.0, -0.2335, -0.0039], Current Cost = 14000.00, Rho = -1.230
(iter 8) [0.0, -0.2335, -0.0039] = 454.4368, sampling [0.0, 0.1664, 0.3879]. Recommendation = [0.0, -0.2335, -0.0039], Current Cost = 15000.00, Rho = -1.230
(iter 8) [0.0, -0.2335, -0.0039] = 454.4368, sampling [0.0, 0.1499, 0.4164]. Recommendation = [0.0, -0.2335, -0.0039], Current Cost = 16000.00, Rho = -1.230
