(iter 5) [0.0, -1.2467, 1.7217] = 448.4482, sampling [0.0, -0.7228, 1.3378]. Recommendation = [0.0, -1.2467, 1.7217], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -1.2467, 1.7217] = 448.4482, sampling [0.0, -1.6913, 1.1218]. Recommendation = [0.0, -1.2467, 1.7217], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -1.2467, 1.7217] = 448.4482, sampling [0.0, -0.7902, 1.8728]. Recommendation = [0.0, -1.2467, 1.7217], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -1.2467, 1.7217] = 448.4482, sampling [0.0, -0.4141, 0.6825]. Recommendation = [0.0, -1.2467, 1.7217], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -1.2467, 1.7217] = 448.4482, sampling [0.0, -0.1773, 0.2192]. Recommendation = [0.0, -1.2467, 1.7217], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, -0.1773, 0.2192] = 451.3879, sampling [0.0, -0.5694, 0.1380]. Recommendation = [0.0, -0.1773, 0.2192], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, -0.1773, 0.2192] = 451.3879, sampling [0.0, -0.3640, -0.2160]. Recommendation = [0.0, -0.1773, 0.2192], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, -0.1773, 0.2192] = 451.3879, sampling [0.0, -0.2729, 1.0724]. Recommendation = [0.0, -0.1773, 0.2192], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, -0.1773, 0.2192] = 451.3879, sampling [0.0, -0.4456, 0.3952]. Recommendation = [0.0, -0.1773, 0.2192], Current Cost = 13000.00, Rho = -1.230
(iter 9) [0.0, -0.1773, 0.2192] = 451.3879, sampling [0.0, -0.0368, 0.4387]. Recommendation = [0.0, -0.1773, 0.2192], Current Cost = 14000.00, Rho = -1.230
(iter 9) [0.0, -0.1773, 0.2192] = 451.3879, sampling [0.0, -0.8713, 0.4677]. Recommendation = [0.0, -0.1773, 0.2192], Current Cost = 15000.00, Rho = -1.230
(iter 9) [0.0, -0.1773, 0.2192] = 451.3879, sampling [0.0, -0.6362, 0.8215]. Recommendation = [0.0, -0.1773, 0.2192], Current Cost = 16000.00, Rho = -1.230
(iter 9) [0.0, -0.1773, 0.2192] = 451.3879, sampling [0.0, -0.6760, 0.4574]. Recommendation = [0.0, -0.1773, 0.2192], Current Cost = 17000.00, Rho = -1.230
(iter 17) [0.0, -0.6760, 0.4574] = 453.4911, sampling [0.0, -0.7159, -0.1019]. Recommendation = [0.0, -0.6760, 0.4574], Current Cost = 18000.00, Rho = -1.230
(iter 17) [0.0, -0.6760, 0.4574] = 453.4911, sampling [0.0, -0.9083, 1.0525]. Recommendation = [0.0, -0.6760, 0.4574], Current Cost = 19000.00, Rho = -1.230
(iter 17) [0.0, -0.6760, 0.4574] = 453.4911, sampling [0.0, -1.0521, 1.4437]. Recommendation = [0.0, -0.6760, 0.4574], Current Cost = 20000.00, Rho = -1.230
