(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.6940, -0.2748]. Recommendation = [0.0, 0.6143, -0.3877], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.5580, -0.2087]. Recommendation = [0.0, 0.6940, -0.2748], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.4759, -0.0213]. Recommendation = [0.0, 0.5580, -0.2087], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.6784, 0.0536]. Recommendation = [0.0, 0.4759, -0.0213], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.4569, 0.1049]. Recommendation = [0.0, 0.4759, -0.0213], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.6265, 0.3527]. Recommendation = [0.0, 0.4569, 0.1049], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.3544, 0.3861]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.2271, -0.0097]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.1189, 0.0954]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.0809, 0.2142]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.3474, 0.5282]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.0409, 0.4771]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.5412, 0.6255]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.1603, 0.6721]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.1970, -0.0556]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, -0.0390, 0.2531]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.0750, -0.1583]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.8147, 0.5527]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.5925, 0.9051]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.1912, 0.9167]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, -0.1472, 0.3050]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, -0.0556, 0.6456]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.0971, 0.6167]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, 0.7243, 0.0411]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, -0.2569, 0.5793]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, -0.1654, 0.7561]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.6143, -0.3877] = 397.6196, sampling [1.0, -0.3873, 0.2565]. Recommendation = [0.0, 0.6265, 0.3527], Current Cost = 5031.00, Rho = 1.000
