(iter 5) [0.0, 0.9864, -0.1165] = 337.5745, sampling [0.0, 0.8731, -0.0123]. Recommendation = [0.0, 0.9864, -0.1165], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.8731, -0.0123] = 396.2847, sampling [0.0, 0.8068, 0.4141]. Recommendation = [0.0, 0.8731, -0.0123], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.8068, 0.4141] = 450.6538, sampling [0.0, 0.6443, 0.4486]. Recommendation = [0.0, 0.8068, 0.4141], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 0.4786, 0.3015]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 0.6322, 0.7808]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 1.0243, 0.5991]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 0.8873, 0.9094]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 11000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 0.9945, 0.6933]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 12000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 0.7300, 0.9443]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 13000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 0.4911, 0.7918]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 14000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 1.0400, 0.9984]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 15000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 0.9582, 1.1174]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 16000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 0.7931, 1.0793]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 17000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 1.2110, 1.0913]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 18000.00, Rho = -1.230
(iter 7) [0.0, 0.6443, 0.4486] = 456.0613, sampling [0.0, 1.0759, 1.1448]. Recommendation = [0.0, 0.6443, 0.4486], Current Cost = 19000.00, Rho = -1.230
(iter 19) [0.0, 1.0759, 1.1448] = 456.2781, sampling [0.0, 1.1459, 0.4641]. Recommendation = [0.0, 1.0759, 1.1448], Current Cost = 20000.00, Rho = -1.230
(iter 19) [0.0, 1.0759, 1.1448] = 456.2781, sampling [0.0, 1.4181, 0.7374]. Recommendation = [0.0, 1.0759, 1.1448], Current Cost = 21000.00, Rho = -1.230
(iter 19) [0.0, 1.0759, 1.1448] = 456.2781, sampling [0.0, 0.1679, 0.3172]. Recommendation = [0.0, 1.0759, 1.1448], Current Cost = 22000.00, Rho = -1.230
(iter 19) [0.0, 1.0759, 1.1448] = 456.2781, sampling [0.0, 0.2056, 0.8732]. Recommendation = [0.0, 1.0759, 1.1448], Current Cost = 23000.00, Rho = -1.230
