(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.0918, -0.3234]. Recommendation = [0.0, 0.7166, -0.4063], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.1736, -0.3377]. Recommendation = [0.0, -0.0918, -0.3234], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.1264, 0.2420]. Recommendation = [0.0, -0.0918, -0.3234], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.5127, 0.0755]. Recommendation = [0.0, -0.1264, 0.2420], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.4938, -0.1808]. Recommendation = [0.0, -0.5127, 0.0755], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.4572, 0.3474]. Recommendation = [0.0, -0.5127, 0.0755], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.6334, 0.1751]. Recommendation = [0.0, -0.4572, 0.3474], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.3323, 0.5532]. Recommendation = [0.0, -0.4572, 0.3474], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.8414, 0.3213]. Recommendation = [0.0, -0.4572, 0.3474], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.6627, -0.0062]. Recommendation = [0.0, -0.4572, 0.3474], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.2346, -0.3932]. Recommendation = [0.0, -0.4572, 0.3474], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.3546, 0.1535]. Recommendation = [0.0, -0.4572, 0.3474], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.4261, -0.2383]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.6496, 0.7440]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.9391, 0.5365]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.0405, 0.6158]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.5102, 0.7117]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.3861, 0.3177]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.5520, 0.0606]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.8884, 0.8232]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.7156, 0.9906]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.5618, 0.1365]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.6734, 0.8130]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.6171, 0.2817]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.2626, 0.8351]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -1.0142, 0.1237]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -1.1738, 0.8862]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.9668, 1.0913]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -1.0761, 1.1179]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.7205, 0.3004]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.2748, 0.6827]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.5912, -0.0945]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, -0.5971, 0.8633]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.7166, -0.4063] = 371.6222, sampling [1.0, 0.7728, 0.5020]. Recommendation = [0.0, 0.3546, 0.1535], Current Cost = 5038.00, Rho = 1.000
