(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.2087, 0.8738]. Recommendation = [0.0, 0.0443, -0.2794], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.0573, 0.1230]. Recommendation = [0.0, 0.0443, -0.2794], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -1.1002, 1.4900]. Recommendation = [0.0, 0.0573, 0.1230], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.1604, 0.1051]. Recommendation = [0.0, 0.0573, 0.1230], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.0507, 0.3810]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.7817, 1.7240]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.0718, -0.0686]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -1.2833, 1.1088]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.2201, 0.3593]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.3238, 0.3064]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.8268, 0.6535]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.9119, 0.9659]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.5462, 0.6227]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.7449, 0.3910]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.4449, 0.1951]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.8083, 0.8815]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.3900, 0.4555]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -1.0755, 0.5911]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.1538, 0.7234]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.6879, 0.6818]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.0325, 0.0828]. Recommendation = [0.0, -0.0325, 0.0828], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.0788, 0.2549]. Recommendation = [0.0, -0.0718, -0.0686], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -1.1571, 1.3623]. Recommendation = [0.0, -0.0718, -0.0686], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -1.3494, 1.6569]. Recommendation = [0.0, -0.0718, -0.0686], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.1206, 0.2843]. Recommendation = [0.0, -0.0718, -0.0686], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.2644, 0.1617]. Recommendation = [0.0, -0.0718, -0.0686], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.0834, 0.0702]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -1.2019, 1.4384]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.6936, 1.1433]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -1.4562, 1.2579]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -0.6466, 0.8373]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.4562, 0.3331]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.5532, 0.5310]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, 0.4245, 0.0535]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0443, -0.2794] = 447.4676, sampling [1.0, -1.2315, 1.6992]. Recommendation = [0.0, 0.0834, 0.0702], Current Cost = 5039.00, Rho = 1.000
