(iter 5) [0.0, 0.9651, 0.6029] = 445.5104, sampling [0.0, 0.7474, -0.1736]. Recommendation = [0.0, 0.9651, 0.6029], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.9651, 0.6029] = 445.5104, sampling [0.0, 0.4022, 0.4354]. Recommendation = [0.0, 0.9651, 0.6029], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.4022, 0.4354] = 448.4546, sampling [0.0, 1.6405, 0.2103]. Recommendation = [0.0, 0.4022, 0.4354], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.4022, 0.4354] = 448.4546, sampling [0.0, 0.4652, 1.3365]. Recommendation = [0.0, 0.4022, 0.4354], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, 0.4022, 0.4354] = 448.4546, sampling [0.0, 0.3394, -0.1512]. Recommendation = [0.0, 0.4022, 0.4354], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.3394, -0.1512] = 448.7654, sampling [0.0, -0.0251, 0.2652]. Recommendation = [0.0, 0.3394, -0.1512], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, 0.3394, -0.1512] = 448.7654, sampling [0.0, 0.2019, -0.8689]. Recommendation = [0.0, 0.4209, 0.0271], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, 0.3394, -0.1512] = 448.7654, sampling [0.0, 0.0921, 0.7850]. Recommendation = [0.0, 0.4209, 0.0271], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, 0.3394, -0.1512] = 448.7654, sampling [0.0, 0.8090, 0.9343]. Recommendation = [0.0, 0.4209, 0.0271], Current Cost = 13000.00, Rho = -1.230
(iter 9) [0.0, 0.3394, -0.1512] = 448.7654, sampling [0.0, 0.4999, 0.7060]. Recommendation = [0.0, 0.8449, 0.6853], Current Cost = 14000.00, Rho = -1.230
(iter 9) [0.0, 0.3394, -0.1512] = 448.7654, sampling [0.0, 0.6462, 0.1924]. Recommendation = [0.0, 0.8449, 0.6853], Current Cost = 15000.00, Rho = -1.230
