(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.2342, 0.7094]. Recommendation = [0.0, 0.2342, 0.7094], Current Cost = 5005.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.2786, 0.5454]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5006.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.1825, 0.9469]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5007.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.0357, 0.2654]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5008.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.1991, 0.2476]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5009.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.4686, 0.7494]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5010.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.8355, 1.4606]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5011.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.2499, 0.8978]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5012.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.7234, 0.8680]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5013.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.6694, 0.6066]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5014.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.3970, 0.8142]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5015.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.5346, 0.8889]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5016.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.3164, 0.6404]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5017.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.3609, 0.7796]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5018.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.2886, 0.2746]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5019.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.6050, 1.0932]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5020.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.1046, 0.9892]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5021.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, 0.2588, 0.2131]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5022.00, Rho = 0.167
(iter 10) [0.0, -0.0486, -0.0492] = 454.9344, sampling [1.0, -0.4538, 0.6630]. Recommendation = [0.0, 0.0357, 0.2654], Current Cost = 5023.00, Rho = 0.167
