(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.4768, 0.5830]. Recommendation = [0.0, 1.2904, 0.9711], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 1.0283, 0.1666]. Recommendation = [0.0, 0.4768, 0.5830], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -0.2158, 0.5276]. Recommendation = [0.0, 0.4768, 0.5830], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.3317, 0.1478]. Recommendation = [0.0, 0.4768, 0.5830], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.7568, 0.8581]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.1508, 0.7872]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -0.7711, 0.8364]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -0.5874, 0.4161]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -0.4444, 0.8200]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.5235, -0.1040]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -0.0883, -0.2032]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -0.3159, 0.1273]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.7167, 1.2460]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.1870, 0.3883]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 1.7611, 0.3293]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.2618, -0.3523]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.5727, 0.2777]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -0.8691, 1.2975]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -1.2684, 0.8812]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.9799, 0.7117]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -1.3126, 1.6523]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -0.6154, 1.7221]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -1.2468, 1.2807]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, -1.9281, 1.3581]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 1.1416, 1.5930]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.2904, 0.9711] = 408.0561, sampling [1.0, 0.8227, 1.8635]. Recommendation = [0.0, 0.3317, 0.1478], Current Cost = 5030.00, Rho = 1.000
