(iter 5) [0.0, -0.3116, 0.4824] = 439.7350, sampling [0.0, 0.0394, 1.0225]. Recommendation = [0.0, -0.3116, 0.4824], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.3116, 0.4824] = 439.7350, sampling [0.0, 0.0569, -0.0594]. Recommendation = [0.0, -0.3116, 0.4824], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, 0.4186, 0.2797]. Recommendation = [0.0, 0.0569, -0.0594], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, 0.0240, 0.3755]. Recommendation = [0.0, 0.0569, -0.0594], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, -0.0834, 1.9536]. Recommendation = [0.0, 0.0569, -0.0594], Current Cost = 9000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, -0.2036, -0.4391]. Recommendation = [0.0, 0.0569, -0.0594], Current Cost = 10000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, 0.4603, -0.1535]. Recommendation = [0.0, 0.0569, -0.0594], Current Cost = 11000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, -0.5496, 0.0016]. Recommendation = [0.0, 0.2812, 0.1366], Current Cost = 12000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, 0.1989, -0.4883]. Recommendation = [0.0, 0.2812, 0.1366], Current Cost = 13000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, -0.8082, -0.9330]. Recommendation = [0.0, 0.2812, 0.1366], Current Cost = 14000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, -0.5817, 0.9808]. Recommendation = [0.0, 0.2812, 0.1366], Current Cost = 15000.00, Rho = -1.230
(iter 6) [0.0, 0.0569, -0.0594] = 455.0185, sampling [0.0, 0.8382, 0.8015]. Recommendation = [0.0, 0.2812, 0.1366], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, 0.8382, 0.8015] = 455.2942, sampling [0.0, 0.4350, 0.8365]. Recommendation = [0.0, 0.2812, 0.1366], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, 0.8382, 0.8015] = 455.2942, sampling [0.0, 1.3373, 1.5285]. Recommendation = [0.0, 0.2812, 0.1366], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, 0.8382, 0.8015] = 455.2942, sampling [0.0, 0.9020, 1.5883]. Recommendation = [0.0, 0.2812, 0.1366], Current Cost = 19000.00, Rho = -1.230
