(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, -0.1058, 0.2367]. Recommendation = [0.0, 0.2716, -0.0400], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, 0.1291, 0.3426]. Recommendation = [0.0, 0.2716, -0.0400], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, -0.3840, 0.7137]. Recommendation = [0.0, 0.2716, -0.0400], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, 0.0318, 0.9123]. Recommendation = [0.0, 0.2716, -0.0400], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, -0.5272, 0.3301]. Recommendation = [0.0, 0.2716, -0.0400], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, -0.2959, -0.0649]. Recommendation = [0.0, 0.2716, -0.0400], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, 0.0399, -0.1328]. Recommendation = [0.0, -0.1900, 0.1751], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, -0.7382, 1.0024]. Recommendation = [0.0, -0.1204, 0.0217], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, -0.2514, 1.2557]. Recommendation = [0.0, -0.1204, 0.0217], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, -1.0276, 0.5353]. Recommendation = [0.0, -0.1204, 0.0217], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2716, -0.0400] = 454.4763, sampling [1.0, -0.7253, 0.7891]. Recommendation = [0.0, -0.1204, 0.0217], Current Cost = 5015.00, Rho = 1.000
