(iter 5) [0.0, -0.7102, -0.0816] = 419.0500, sampling [0.0, 0.1048, -0.0335]. Recommendation = [0.0, -0.7102, -0.0816], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.1048, -0.0335] = 455.3011, sampling [0.0, -0.1515, 0.3155]. Recommendation = [0.0, 0.1048, -0.0335], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.1048, -0.0335] = 455.3011, sampling [0.0, -0.3076, 0.0300]. Recommendation = [0.0, 0.1048, -0.0335], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.1048, -0.0335] = 455.3011, sampling [0.0, 0.3200, 0.4327]. Recommendation = [0.0, 0.1048, -0.0335], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.1048, -0.0335] = 455.3011, sampling [0.0, 0.0819, 0.8353]. Recommendation = [0.0, 0.1048, -0.0335], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.1048, -0.0335] = 455.3011, sampling [0.0, 0.4289, -0.0539]. Recommendation = [0.0, 0.1048, -0.0335], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 0.1048, -0.0335] = 455.3011, sampling [0.0, -0.3243, -0.2337]. Recommendation = [0.0, 0.2708, 0.0497], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, 0.1048, -0.0335] = 455.3011, sampling [0.0, 0.2708, 0.0497]. Recommendation = [0.0, 0.2708, 0.0497], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, 0.2708, 0.0497] = 455.7123, sampling [0.0, 0.5466, 0.2847]. Recommendation = [0.0, 0.2708, 0.0497], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, 0.5466, 0.2847] = 456.0745, sampling [0.0, 0.5681, 0.9666]. Recommendation = [0.0, 0.3747, 0.0770], Current Cost = 14000.00, Rho = -1.230
(iter 13) [0.0, 0.5466, 0.2847] = 456.0745, sampling [0.0, 0.6463, -0.3833]. Recommendation = [0.0, 0.5466, 0.2847], Current Cost = 15000.00, Rho = -1.230
(iter 13) [0.0, 0.5466, 0.2847] = 456.0745, sampling [0.0, -0.6920, 0.5206]. Recommendation = [0.0, 0.5466, 0.2847], Current Cost = 16000.00, Rho = -1.230
(iter 13) [0.0, 0.5466, 0.2847] = 456.0745, sampling [0.0, -0.3448, 0.7656]. Recommendation = [0.0, 0.5466, 0.2847], Current Cost = 17000.00, Rho = -1.230
(iter 13) [0.0, 0.5466, 0.2847] = 456.0745, sampling [0.0, -0.6732, 0.1102]. Recommendation = [0.0, 0.5466, 0.2847], Current Cost = 18000.00, Rho = -1.230
(iter 13) [0.0, 0.5466, 0.2847] = 456.0745, sampling [0.0, 0.3412, -0.5232]. Recommendation = [0.0, 0.5466, 0.2847], Current Cost = 19000.00, Rho = -1.230
(iter 13) [0.0, 0.5466, 0.2847] = 456.0745, sampling [0.0, -0.0220, 0.3011]. Recommendation = [0.0, 0.5466, 0.2847], Current Cost = 20000.00, Rho = -1.230
(iter 13) [0.0, 0.5466, 0.2847] = 456.0745, sampling [0.0, 0.0369, 1.5623]. Recommendation = [0.0, 0.5466, 0.2847], Current Cost = 21000.00, Rho = -1.230
