(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.5542, 0.8635]. Recommendation = [0.0, 0.8168, 0.9080], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.7368, 1.1612]. Recommendation = [0.0, 0.8168, 0.9080], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.1716, 0.7847]. Recommendation = [0.0, 0.8168, 0.9080], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.3821, 0.4429]. Recommendation = [0.0, 0.8168, 0.9080], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.3479, 0.6945]. Recommendation = [0.0, 0.8168, 0.9080], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.0375, 0.3515]. Recommendation = [0.0, 0.8168, 0.9080], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.1365, 0.1386]. Recommendation = [0.0, 0.8168, 0.9080], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, -0.1354, 0.0905]. Recommendation = [0.0, 0.1365, 0.1386], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.1077, -0.1776]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, -0.2391, -0.0702]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.7064, 0.3593]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.4338, -0.1024]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.1992, 0.3318]. Recommendation = [0.0, 0.4523, 0.3793], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, -0.0744, -0.5717]. Recommendation = [0.0, 0.4523, 0.3793], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, -0.4115, -0.4081]. Recommendation = [0.0, 0.4523, 0.3793], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.1593, -0.4179]. Recommendation = [0.0, 0.4523, 0.3793], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.3137, -0.1956]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.4523, 0.3793]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, -0.0912, 0.4750]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, -0.4500, 0.2101]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, -0.2175, 0.8660]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.4131, 1.3475]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.8168, 0.9080] = 450.4651, sampling [1.0, 0.8805, 0.3008]. Recommendation = [0.0, -0.1354, 0.0905], Current Cost = 5027.00, Rho = 1.000
