(iter 5) [0.0, 0.9334, -0.1281] = 356.4484, sampling [0.0, 0.0342, 0.1787]. Recommendation = [0.0, 0.9334, -0.1281], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.0342, 0.1787] = 452.2139, sampling [0.0, -0.6552, 0.6025]. Recommendation = [0.0, 0.0342, 0.1787], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.0342, 0.1787] = 452.2139, sampling [0.0, -1.1394, 1.5060]. Recommendation = [0.0, 0.0342, 0.1787], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.0342, 0.1787] = 452.2139, sampling [0.0, -0.6172, 1.7827]. Recommendation = [0.0, 0.0342, 0.1787], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.0342, 0.1787] = 452.2139, sampling [0.0, -1.8503, 1.7698]. Recommendation = [0.0, 0.0342, 0.1787], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.0342, 0.1787] = 452.2139, sampling [0.0, 0.6391, 0.5753]. Recommendation = [0.0, 0.0342, 0.1787], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, -0.2124, 0.6694]. Recommendation = [0.0, 0.6391, 0.5753], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, 1.9919, -0.4904]. Recommendation = [0.0, 0.6391, 0.5753], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, -1.1057, 0.8815]. Recommendation = [0.0, 0.6391, 0.5753], Current Cost = 13000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, -0.3785, 0.0291]. Recommendation = [0.0, 0.6391, 0.5753], Current Cost = 14000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, 0.4420, -0.0530]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 15000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, -0.5106, 1.0870]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 16000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, -1.0938, 0.2581]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 17000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, -1.6914, 0.9660]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 18000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, 0.8560, 1.8619]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 19000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, 0.7505, 1.1398]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 20000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, 0.1141, 1.9822]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 21000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, 0.3905, 0.6365]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 22000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, -0.0583, -0.7019]. Recommendation = [0.0, -0.3172, 0.1427], Current Cost = 23000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, -0.3868, -0.4111]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 24000.00, Rho = -1.230
(iter 10) [0.0, 0.6391, 0.5753] = 453.3849, sampling [0.0, 0.0998, -0.0739]. Recommendation = [0.0, -0.0897, 0.0332], Current Cost = 25000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -0.7310, 0.2846]. Recommendation = [0.0, -0.0897, 0.0332], Current Cost = 26000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 0.6787, 0.2106]. Recommendation = [0.0, -0.0897, 0.0332], Current Cost = 27000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -1.1532, 1.9540]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 28000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 0.2948, -0.6345]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 29000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -0.8132, 1.0949]. Recommendation = [0.0, -0.1647, -0.0946], Current Cost = 30000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -0.7082, -0.1088]. Recommendation = [0.0, -0.1647, -0.0946], Current Cost = 31000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 1.0048, 0.7505]. Recommendation = [0.0, -0.1647, -0.0946], Current Cost = 32000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 1.1602, 1.2027]. Recommendation = [0.0, -0.1647, -0.0946], Current Cost = 33000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -0.0250, 0.4795]. Recommendation = [0.0, -0.1647, -0.0946], Current Cost = 34000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -0.1647, -0.0946]. Recommendation = [0.0, -0.1647, -0.0946], Current Cost = 35000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 1.1711, 1.6081]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 36000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 0.3628, -0.2491]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 37000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 0.8080, 1.5855]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 38000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -0.1415, 0.9541]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 39000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -0.9685, 1.3706]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 40000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 0.2663, -1.1896]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 41000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 1.0168, 0.3579]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 42000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 1.4378, 0.9359]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 43000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 0.8328, -1.9288]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 44000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 1.5423, 1.9851]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 45000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, 1.2801, 1.8507]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 46000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -1.3339, 1.3014]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 47000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -0.9566, 0.7819]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 48000.00, Rho = -1.230
(iter 25) [0.0, 0.0998, -0.0739] = 454.7865, sampling [0.0, -1.3705, 1.8035]. Recommendation = [0.0, 0.3342, 0.0086], Current Cost = 49000.00, Rho = -1.230
