(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.1708, -0.3836]. Recommendation = [0.0, 0.5210, 1.1118], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.2821, -0.0302]. Recommendation = [0.0, 0.1708, -0.3836], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.3187, 0.3258]. Recommendation = [0.0, 0.2821, -0.0302], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.0512, -0.1452]. Recommendation = [0.0, 0.2821, -0.0302], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.6074, 0.6310]. Recommendation = [0.0, 0.2821, -0.0302], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.5614, 0.0030]. Recommendation = [0.0, 0.2821, -0.0302], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.4399, 0.7492]. Recommendation = [0.0, 0.2821, -0.0302], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.1114, -0.0901]. Recommendation = [0.0, 0.2821, -0.0302], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, -0.0144, -0.5531]. Recommendation = [0.0, 0.2821, -0.0302], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.8107, 0.7932]. Recommendation = [0.0, 0.2821, -0.0302], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 1.0200, 0.6786]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.8188, 0.2141]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, -0.0170, -0.2225]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 1.0572, 0.4840]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.5442, -0.5093]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.6982, 0.9538]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.0313, -0.4040]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, -0.1875, 0.0419]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, -0.0880, -0.1651]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, -0.1685, 0.2373]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, -0.2600, -0.3659]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, -0.0542, 0.7100]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.9192, 1.1320]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 1.4025, 1.0278]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.4835, 0.6648]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 1.1209, 1.2362]. Recommendation = [0.0, 0.8107, 0.7932], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 1.1506, 1.6213]. Recommendation = [0.0, 1.1209, 1.2362], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 1.3131, 1.4540]. Recommendation = [0.0, 1.1209, 1.2362], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 0.7114, 1.5672]. Recommendation = [0.0, 1.1209, 1.2362], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.5210, 1.1118] = 385.4500, sampling [1.0, 1.3538, 1.7187]. Recommendation = [0.0, 1.1209, 1.2362], Current Cost = 5034.00, Rho = 1.000
