(iter 5) [0.0, -0.2850, -0.3114] = 439.2315, sampling [0.0, -0.5081, -0.0964]. Recommendation = [0.0, -0.2850, -0.3114], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.5081, -0.0964] = 441.4557, sampling [0.0, -0.8234, -0.0886]. Recommendation = [0.0, -0.5081, -0.0964], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.5081, -0.0964] = 441.4557, sampling [0.0, -0.6231, -0.3506]. Recommendation = [0.0, -0.5081, -0.0964], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.5081, -0.0964] = 441.4557, sampling [0.0, -0.5133, -0.0088]. Recommendation = [0.0, -0.5081, -0.0964], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.5133, -0.0088] = 446.5965, sampling [0.0, -0.1503, 0.0254]. Recommendation = [0.0, -0.5133, -0.0088], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, -0.8554, 0.2503]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, -0.1897, 0.5534]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, -0.0141, 0.1883]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, -0.4349, 0.6815]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 13000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, -0.7901, 0.5682]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 14000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, -0.8125, 0.7547]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 15000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, -0.9075, 0.6107]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 16000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, 0.0585, 0.4880]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 17000.00, Rho = -1.230
(iter 9) [0.0, -0.1503, 0.0254] = 454.9761, sampling [0.0, 0.1504, 0.0992]. Recommendation = [0.0, -0.1503, 0.0254], Current Cost = 18000.00, Rho = -1.230
(iter 18) [0.0, 0.1504, 0.0992] = 454.9915, sampling [0.0, 0.1123, 0.2383]. Recommendation = [0.0, 0.1504, 0.0992], Current Cost = 19000.00, Rho = -1.230
(iter 18) [0.0, 0.1504, 0.0992] = 454.9915, sampling [0.0, -0.3517, 0.9207]. Recommendation = [0.0, 0.1504, 0.0992], Current Cost = 20000.00, Rho = -1.230
(iter 18) [0.0, 0.1504, 0.0992] = 454.9915, sampling [0.0, -0.0323, -0.4814]. Recommendation = [0.0, 0.1504, 0.0992], Current Cost = 21000.00, Rho = -1.230
