(iter 5) [0.0, 0.7481, -0.1275] = 409.0275, sampling [0.0, 0.8559, 0.3140]. Recommendation = [0.0, 0.7481, -0.1275], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.8559, 0.3140] = 438.7567, sampling [0.0, 0.3081, 0.1049]. Recommendation = [0.0, 0.8559, 0.3140], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, 0.6109, 0.6280]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, 0.1730, 0.3977]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, 0.6439, 0.0536]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 9000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, 1.2735, -0.2424]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 10000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, 0.3944, -0.2286]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 11000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.2148, 0.5394]. Recommendation = [0.0, 0.4703, -0.0198], Current Cost = 12000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.0908, -0.0683]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 13000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.2916, 1.2049]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 14000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, 0.0243, 0.7490]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 15000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, 0.0409, -0.3640]. Recommendation = [0.0, 0.3081, 0.1049], Current Cost = 16000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.3318, 0.1482]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 17000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.0064, 0.4116]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 18000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, 0.2978, -0.5429]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 19000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.5724, 0.4999]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 20000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.6114, 0.8249]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 21000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.3791, 0.3475]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 22000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -1.0791, 1.1980]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 23000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.6876, 1.6835]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 24000.00, Rho = -1.230
(iter 6) [0.0, 0.3081, 0.1049] = 455.8113, sampling [0.0, -0.9498, 0.9052]. Recommendation = [0.0, 0.2847, -0.1452], Current Cost = 25000.00, Rho = -1.230
