(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1133]. Recommendation = [0.0, 1.0609], Current Cost = 75.44, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0879]. Recommendation = [0.0, 1.1133], Current Cost = 78.98, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1758]. Recommendation = [0.0, 1.0879], Current Cost = 82.51, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1414]. Recommendation = [0.0, 1.0879], Current Cost = 86.05, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2539]. Recommendation = [0.0, 1.0879], Current Cost = 89.59, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2112]. Recommendation = [0.0, 1.0879], Current Cost = 93.13, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.3511]. Recommendation = [0.0, 1.0879], Current Cost = 96.67, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2966]. Recommendation = [0.0, 1.0879], Current Cost = 100.21, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.4347]. Recommendation = [0.0, 1.0879], Current Cost = 103.75, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1599]. Recommendation = [0.0, 1.0879], Current Cost = 107.29, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0744]. Recommendation = [0.0, 1.0879], Current Cost = 110.83, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1256]. Recommendation = [0.0, 1.0879], Current Cost = 114.37, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0995]. Recommendation = [0.0, 1.0879], Current Cost = 117.91, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1915]. Recommendation = [0.0, 1.0995], Current Cost = 121.45, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2304]. Recommendation = [0.0, 1.0995], Current Cost = 124.99, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1514]. Recommendation = [0.0, 1.0995], Current Cost = 128.53, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1344]. Recommendation = [0.0, 1.0995], Current Cost = 132.07, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1060]. Recommendation = [0.0, 1.0995], Current Cost = 135.61, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0816]. Recommendation = [0.0, 1.0995], Current Cost = 139.15, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.3885]. Recommendation = [0.0, 1.0995], Current Cost = 142.69, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2719]. Recommendation = [0.0, 1.0995], Current Cost = 146.23, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.3221]. Recommendation = [0.0, 1.0995], Current Cost = 149.77, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0656]. Recommendation = [0.0, 1.0995], Current Cost = 153.31, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0921]. Recommendation = [0.0, 1.0995], Current Cost = 156.85, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1675]. Recommendation = [0.0, 1.0921], Current Cost = 160.39, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.4846]. Recommendation = [0.0, 1.0921], Current Cost = 163.93, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1169]. Recommendation = [0.0, 1.0921], Current Cost = 167.47, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2002]. Recommendation = [0.0, 1.0921], Current Cost = 171.01, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1830]. Recommendation = [0.0, 1.0921], Current Cost = 174.55, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0715]. Recommendation = [0.0, 1.0921], Current Cost = 178.08, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1290]. Recommendation = [0.0, 1.0921], Current Cost = 181.62, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1451]. Recommendation = [0.0, 1.0921], Current Cost = 185.16, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2208]. Recommendation = [0.0, 1.0921], Current Cost = 188.70, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1226]. Recommendation = [0.0, 1.0921], Current Cost = 192.24, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1099]. Recommendation = [0.0, 1.0921], Current Cost = 195.78, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2440]. Recommendation = [0.0, 1.0921], Current Cost = 199.32, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1039]. Recommendation = [0.0, 1.0921], Current Cost = 202.86, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0764]. Recommendation = [0.0, 1.0921], Current Cost = 206.40, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1545]. Recommendation = [0.0, 1.0921], Current Cost = 209.94, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1368]. Recommendation = [0.0, 1.0921], Current Cost = 213.48, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1636]. Recommendation = [0.0, 1.0921], Current Cost = 217.02, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0900]. Recommendation = [0.0, 1.0921], Current Cost = 220.56, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2859]. Recommendation = [0.0, 1.0921], Current Cost = 224.10, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.6378]. Recommendation = [0.0, 1.0921], Current Cost = 227.64, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2065]. Recommendation = [0.0, 1.0921], Current Cost = 231.18, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1870]. Recommendation = [0.0, 1.0921], Current Cost = 234.72, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2630]. Recommendation = [0.0, 1.0921], Current Cost = 238.26, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1797]. Recommendation = [0.0, 1.0921], Current Cost = 241.80, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.1954]. Recommendation = [0.0, 1.0921], Current Cost = 245.34, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2373]. Recommendation = [0.0, 1.0921], Current Cost = 248.88, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.4103]. Recommendation = [0.0, 1.0921], Current Cost = 252.42, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.3714]. Recommendation = [0.0, 1.0921], Current Cost = 255.96, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.3116]. Recommendation = [0.0, 1.0921], Current Cost = 259.50, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.7762]. Recommendation = [0.0, 1.0921], Current Cost = 263.04, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.3376]. Recommendation = [0.0, 1.0921], Current Cost = 266.58, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0549]. Recommendation = [0.0, 1.0921], Current Cost = 270.12, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.0581]. Recommendation = [0.0, 1.0921], Current Cost = 273.65, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.2158]. Recommendation = [0.0, 1.0921], Current Cost = 277.19, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [1.0, 1.5862]. Recommendation = [0.0, 1.0921], Current Cost = 280.73, Rho = 1.000
(iter 10) [0.0, 1.0609] = 113.2871, sampling [0.0, 1.1688]. Recommendation = [0.0, 1.0921], Current Cost = 284.27, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.1688]. Recommendation = [0.0, 1.1256], Current Cost = 295.82, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.4581]. Recommendation = [0.0, 1.1368], Current Cost = 299.36, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.5130]. Recommendation = [0.0, 1.1368], Current Cost = 302.90, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.2280]. Recommendation = [0.0, 1.1368], Current Cost = 306.44, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.2789]. Recommendation = [0.0, 1.1368], Current Cost = 309.98, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.1987]. Recommendation = [0.0, 1.1368], Current Cost = 313.52, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.0483]. Recommendation = [0.0, 1.1368], Current Cost = 317.06, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.2344]. Recommendation = [0.0, 1.1368], Current Cost = 320.60, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.8982]. Recommendation = [0.0, 1.1368], Current Cost = 324.14, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.0419]. Recommendation = [0.0, 1.1368], Current Cost = 327.68, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.2583]. Recommendation = [0.0, 1.1368], Current Cost = 331.22, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.2187]. Recommendation = [0.0, 1.1368], Current Cost = 334.76, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.3042]. Recommendation = [0.0, 1.1368], Current Cost = 338.30, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [0.0, 1.2674]. Recommendation = [0.0, 1.1368], Current Cost = 341.84, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.2519]. Recommendation = [0.0, 1.1368], Current Cost = 353.38, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.6991]. Recommendation = [0.0, 1.1368], Current Cost = 356.92, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.0340]. Recommendation = [0.0, 1.1368], Current Cost = 360.46, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.0378]. Recommendation = [0.0, 1.1368], Current Cost = 364.00, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.3611]. Recommendation = [0.0, 1.1368], Current Cost = 367.54, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.3286]. Recommendation = [0.0, 1.1368], Current Cost = 371.08, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [1.0, 1.0467]. Recommendation = [0.0, 1.1368], Current Cost = 374.62, Rho = 1.000
(iter 69) [0.0, 1.1688] = 113.2966, sampling [0.0, 1.1169]. Recommendation = [0.0, 1.1368], Current Cost = 378.16, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.2674]. Recommendation = [0.0, 1.1256], Current Cost = 389.71, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.2890]. Recommendation = [0.0, 1.1256], Current Cost = 393.25, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.2759]. Recommendation = [0.0, 1.1256], Current Cost = 396.79, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.0254]. Recommendation = [0.0, 1.1256], Current Cost = 400.33, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.0315]. Recommendation = [0.0, 1.1256], Current Cost = 403.87, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.3990]. Recommendation = [0.0, 1.1256], Current Cost = 407.41, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.3157]. Recommendation = [0.0, 1.1256], Current Cost = 410.95, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.2932]. Recommendation = [0.0, 1.1256], Current Cost = 414.49, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.0189]. Recommendation = [0.0, 1.1256], Current Cost = 418.03, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.4224]. Recommendation = [0.0, 1.1256], Current Cost = 421.57, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [0.0, 1.2065]. Recommendation = [0.0, 1.1256], Current Cost = 425.11, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [1.0, 1.2810]. Recommendation = [0.0, 1.1256], Current Cost = 436.65, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [0.0, 1.3455]. Recommendation = [0.0, 1.1256], Current Cost = 440.19, Rho = 1.000
(iter 91) [0.0, 1.1169] = 113.2991, sampling [0.0, 1.1414]. Recommendation = [0.0, 1.1256], Current Cost = 451.74, Rho = 1.000
(iter 105) [0.0, 1.1414] = 113.2992, sampling [0.0, 1.0921]. Recommendation = [0.0, 1.1368], Current Cost = 463.29, Rho = 1.000
