(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2830]. Recommendation = [0.0, 1.3057], Current Cost = 75.44, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2931]. Recommendation = [0.0, 1.3057], Current Cost = 78.98, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2566]. Recommendation = [0.0, 1.3057], Current Cost = 82.51, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2710]. Recommendation = [0.0, 1.3057], Current Cost = 86.05, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2292]. Recommendation = [0.0, 1.3057], Current Cost = 89.59, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2411]. Recommendation = [0.0, 1.3057], Current Cost = 93.13, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1948]. Recommendation = [0.0, 1.3057], Current Cost = 96.67, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2107]. Recommendation = [0.0, 1.3057], Current Cost = 100.21, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1577]. Recommendation = [0.0, 1.3057], Current Cost = 103.75, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1767]. Recommendation = [0.0, 1.3057], Current Cost = 107.29, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1149]. Recommendation = [0.0, 1.3057], Current Cost = 110.83, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1374]. Recommendation = [0.0, 1.3057], Current Cost = 114.37, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.0726]. Recommendation = [0.0, 1.3057], Current Cost = 117.91, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.0952]. Recommendation = [0.0, 1.3057], Current Cost = 121.45, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.0348]. Recommendation = [0.0, 1.3057], Current Cost = 124.99, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1262]. Recommendation = [0.0, 1.3057], Current Cost = 128.53, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1490]. Recommendation = [0.0, 1.3057], Current Cost = 132.07, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.0525]. Recommendation = [0.0, 1.3057], Current Cost = 135.61, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1855]. Recommendation = [0.0, 1.3057], Current Cost = 139.15, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1652]. Recommendation = [0.0, 1.3057], Current Cost = 142.69, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.1055]. Recommendation = [0.0, 1.3057], Current Cost = 146.23, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2495]. Recommendation = [0.0, 1.3057], Current Cost = 149.77, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.0024]. Recommendation = [0.0, 1.3057], Current Cost = 153.31, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.0841]. Recommendation = [0.0, 1.3057], Current Cost = 156.85, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2162]. Recommendation = [0.0, 1.3057], Current Cost = 160.39, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2637]. Recommendation = [0.0, 1.3057], Current Cost = 163.93, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2995]. Recommendation = [0.0, 1.3057], Current Cost = 167.47, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2004]. Recommendation = [0.0, 1.3057], Current Cost = 171.01, Rho = 1.000
(iter 10) [0.0, 1.3057] = 113.2549, sampling [1.0, 1.2240]. Recommendation = [0.0, 1.3057], Current Cost = 174.55, Rho = 1.000
