(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 0.9745]. Recommendation = [0.0, 0.9701], Current Cost = 75.44, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 0.9794]. Recommendation = [0.0, 0.9745], Current Cost = 78.98, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 0.9827]. Recommendation = [0.0, 0.9794], Current Cost = 82.51, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 0.9844]. Recommendation = [0.0, 0.9827], Current Cost = 86.05, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 0.9905]. Recommendation = [0.0, 0.9844], Current Cost = 89.59, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 0.9963]. Recommendation = [0.0, 0.9905], Current Cost = 93.13, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0020]. Recommendation = [0.0, 0.9963], Current Cost = 96.67, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0045]. Recommendation = [0.0, 1.0020], Current Cost = 100.21, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0107]. Recommendation = [0.0, 1.0045], Current Cost = 103.75, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0144]. Recommendation = [0.0, 1.0107], Current Cost = 107.29, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0168]. Recommendation = [0.0, 1.0144], Current Cost = 110.83, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0212]. Recommendation = [0.0, 1.0168], Current Cost = 114.37, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0250]. Recommendation = [0.0, 1.0212], Current Cost = 117.91, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0297]. Recommendation = [0.0, 1.0250], Current Cost = 121.45, Rho = 0.970
(iter 10) [0.0, 0.9701] = 113.2170, sampling [1.0, 1.0347]. Recommendation = [0.0, 1.0297], Current Cost = 124.99, Rho = 0.970
