(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1471]. Recommendation = [0.0, 1.1420], Current Cost = 75.44, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1379]. Recommendation = [0.0, 1.1420], Current Cost = 78.98, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1506]. Recommendation = [0.0, 1.1420], Current Cost = 82.51, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1322]. Recommendation = [0.0, 1.1420], Current Cost = 86.05, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1281]. Recommendation = [0.0, 1.1420], Current Cost = 89.59, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1556]. Recommendation = [0.0, 1.1420], Current Cost = 93.13, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1247]. Recommendation = [0.0, 1.1420], Current Cost = 96.67, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1601]. Recommendation = [0.0, 1.1420], Current Cost = 100.21, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1577]. Recommendation = [0.0, 1.1420], Current Cost = 103.75, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1187]. Recommendation = [0.0, 1.1420], Current Cost = 107.29, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1236]. Recommendation = [0.0, 1.1420], Current Cost = 110.83, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1144]. Recommendation = [0.0, 1.1420], Current Cost = 114.37, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1662]. Recommendation = [0.0, 1.1420], Current Cost = 117.91, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1098]. Recommendation = [0.0, 1.1420], Current Cost = 121.45, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1049]. Recommendation = [0.0, 1.1420], Current Cost = 124.99, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1725]. Recommendation = [0.0, 1.1420], Current Cost = 128.53, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1692]. Recommendation = [0.0, 1.1420], Current Cost = 132.07, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [0.0, 1.1098]. Recommendation = [0.0, 1.1420], Current Cost = 135.61, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1013]. Recommendation = [0.0, 1.1379], Current Cost = 147.16, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.0968]. Recommendation = [0.0, 1.1379], Current Cost = 150.70, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.0933]. Recommendation = [0.0, 1.1379], Current Cost = 154.24, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.0904]. Recommendation = [0.0, 1.1379], Current Cost = 157.78, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.0854]. Recommendation = [0.0, 1.1379], Current Cost = 161.32, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1808]. Recommendation = [0.0, 1.1379], Current Cost = 164.86, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [0.0, 1.1784]. Recommendation = [0.0, 1.1379], Current Cost = 168.39, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1784]. Recommendation = [0.0, 1.1379], Current Cost = 179.94, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1844]. Recommendation = [0.0, 1.1379], Current Cost = 183.48, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1919]. Recommendation = [0.0, 1.1379], Current Cost = 187.02, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.1979]. Recommendation = [0.0, 1.1379], Current Cost = 190.56, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.0774]. Recommendation = [0.0, 1.1379], Current Cost = 194.10, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [1.0, 1.0831]. Recommendation = [0.0, 1.1379], Current Cost = 197.64, Rho = 0.994
(iter 10) [0.0, 1.1420] = 113.2992, sampling [0.0, 1.1247]. Recommendation = [0.0, 1.1379], Current Cost = 201.18, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [1.0, 1.2055]. Recommendation = [0.0, 1.1247], Current Cost = 212.73, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [1.0, 1.2016]. Recommendation = [0.0, 1.1247], Current Cost = 216.27, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [1.0, 1.1938]. Recommendation = [0.0, 1.1247], Current Cost = 219.81, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [0.0, 1.1577]. Recommendation = [0.0, 1.1247], Current Cost = 223.35, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [1.0, 1.0689]. Recommendation = [0.0, 1.1247], Current Cost = 234.89, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [0.0, 1.0749]. Recommendation = [0.0, 1.1247], Current Cost = 238.43, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [1.0, 1.0749]. Recommendation = [0.0, 1.1247], Current Cost = 249.98, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [1.0, 1.0623]. Recommendation = [0.0, 1.1247], Current Cost = 253.52, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [1.0, 1.2144]. Recommendation = [0.0, 1.1247], Current Cost = 257.06, Rho = 0.994
(iter 41) [0.0, 1.1247] = 113.2995, sampling [0.0, 1.1322]. Recommendation = [0.0, 1.1247], Current Cost = 260.60, Rho = 0.994
(iter 51) [0.0, 1.1322] = 113.2995, sampling [0.0, 1.0968]. Recommendation = [0.0, 1.1322], Current Cost = 272.15, Rho = 0.994
(iter 51) [0.0, 1.1322] = 113.2995, sampling [1.0, 1.0545]. Recommendation = [0.0, 1.1322], Current Cost = 283.69, Rho = 0.994
(iter 51) [0.0, 1.1322] = 113.2995, sampling [1.0, 1.0580]. Recommendation = [0.0, 1.1322], Current Cost = 287.23, Rho = 0.994
(iter 51) [0.0, 1.1322] = 113.2995, sampling [0.0, 1.1187]. Recommendation = [0.0, 1.1322], Current Cost = 290.77, Rho = 0.994
(iter 51) [0.0, 1.1322] = 113.2995, sampling [0.0, 1.2119]. Recommendation = [0.0, 1.1322], Current Cost = 302.32, Rho = 0.994
