(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0225]. Recommendation = [0.0, 1.0244], Current Cost = 75.44, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0310]. Recommendation = [0.0, 1.0244], Current Cost = 78.98, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0332]. Recommendation = [0.0, 1.0310], Current Cost = 82.51, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0369]. Recommendation = [0.0, 1.0332], Current Cost = 86.05, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0402]. Recommendation = [0.0, 1.0369], Current Cost = 89.59, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0467]. Recommendation = [0.0, 1.0402], Current Cost = 93.13, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0485]. Recommendation = [0.0, 1.0467], Current Cost = 96.67, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0533]. Recommendation = [0.0, 1.0485], Current Cost = 100.21, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0584]. Recommendation = [0.0, 1.0533], Current Cost = 103.75, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0629]. Recommendation = [0.0, 1.0584], Current Cost = 107.29, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0649]. Recommendation = [0.0, 1.0629], Current Cost = 110.83, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0719]. Recommendation = [0.0, 1.0649], Current Cost = 114.37, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0776]. Recommendation = [0.0, 1.0719], Current Cost = 117.91, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0733]. Recommendation = [0.0, 1.0776], Current Cost = 121.45, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0836]. Recommendation = [0.0, 1.0776], Current Cost = 124.99, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0868]. Recommendation = [0.0, 1.0836], Current Cost = 128.53, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0891]. Recommendation = [0.0, 1.0836], Current Cost = 132.07, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0956]. Recommendation = [0.0, 1.0836], Current Cost = 135.61, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.1014]. Recommendation = [0.0, 1.0836], Current Cost = 139.15, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.0964]. Recommendation = [0.0, 1.0836], Current Cost = 142.69, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.1048]. Recommendation = [0.0, 1.0836], Current Cost = 146.23, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.1098]. Recommendation = [0.0, 1.0836], Current Cost = 149.77, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.1160]. Recommendation = [0.0, 1.0836], Current Cost = 153.31, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.1230]. Recommendation = [0.0, 1.0836], Current Cost = 156.85, Rho = 0.994
(iter 10) [0.0, 1.0244] = 113.2681, sampling [1.0, 1.1296]. Recommendation = [0.0, 1.0836], Current Cost = 160.39, Rho = 0.994
