(iter 5) [0.0, 1.0785] = 113.2930, sampling [0.0, 1.0809]. Recommendation = [0.0, 1.0785], Current Cost = 57.74, Rho = -1.230
(iter 5) [0.0, 1.0809] = 113.2935, sampling [0.0, 1.0855]. Recommendation = [0.0, 1.0809], Current Cost = 69.28, Rho = -1.230
(iter 6) [0.0, 1.0855] = 113.2947, sampling [0.0, 1.0907]. Recommendation = [0.0, 1.0855], Current Cost = 80.83, Rho = -1.230
(iter 7) [0.0, 1.0907] = 113.2958, sampling [0.0, 1.0954]. Recommendation = [0.0, 1.0907], Current Cost = 92.38, Rho = -1.230
(iter 8) [0.0, 1.0954] = 113.2967, sampling [0.0, 1.0992]. Recommendation = [0.0, 1.0954], Current Cost = 103.93, Rho = -1.230
(iter 9) [0.0, 1.0992] = 113.2974, sampling [0.0, 1.1012]. Recommendation = [0.0, 1.0992], Current Cost = 115.47, Rho = -1.230
(iter 10) [0.0, 1.1012] = 113.2976, sampling [0.0, 1.1056]. Recommendation = [0.0, 1.1012], Current Cost = 127.02, Rho = -1.230
(iter 11) [0.0, 1.1056] = 113.2981, sampling [0.0, 1.1112]. Recommendation = [0.0, 1.1056], Current Cost = 138.57, Rho = -1.230
(iter 12) [0.0, 1.1112] = 113.2988, sampling [0.0, 1.1143]. Recommendation = [0.0, 1.1112], Current Cost = 150.12, Rho = -1.230
(iter 13) [0.0, 1.1143] = 113.2990, sampling [0.0, 1.1162]. Recommendation = [0.0, 1.1143], Current Cost = 161.66, Rho = -1.230
(iter 14) [0.0, 1.1162] = 113.2991, sampling [0.0, 1.1225]. Recommendation = [0.0, 1.1162], Current Cost = 173.21, Rho = -1.230
(iter 15) [0.0, 1.1225] = 113.2994, sampling [0.0, 1.1265]. Recommendation = [0.0, 1.1225], Current Cost = 184.76, Rho = -1.230
(iter 16) [0.0, 1.1265] = 113.2995, sampling [0.0, 1.1297]. Recommendation = [0.0, 1.1265], Current Cost = 196.31, Rho = -1.230
(iter 17) [0.0, 1.1297] = 113.2995, sampling [0.0, 1.1344]. Recommendation = [0.0, 1.1265], Current Cost = 207.85, Rho = -1.230
