(iter 5) [0.0, 0.9639] = 113.2079, sampling [0.0, 0.9837]. Recommendation = [0.0, 0.9639], Current Cost = 57.74, Rho = -1.230
(iter 5) [0.0, 0.9837] = 113.2322, sampling [0.0, 1.0024]. Recommendation = [0.0, 0.9837], Current Cost = 69.28, Rho = -1.230
(iter 6) [0.0, 1.0024] = 113.2510, sampling [0.0, 1.0235]. Recommendation = [0.0, 1.0024], Current Cost = 80.83, Rho = -1.230
(iter 7) [0.0, 1.0235] = 113.2675, sampling [0.0, 1.0145]. Recommendation = [0.0, 1.0235], Current Cost = 92.38, Rho = -1.230
(iter 7) [0.0, 1.0235] = 113.2675, sampling [0.0, 1.0464]. Recommendation = [0.0, 1.0235], Current Cost = 103.93, Rho = -1.230
(iter 9) [0.0, 1.0464] = 113.2809, sampling [0.0, 1.0361]. Recommendation = [0.0, 1.0464], Current Cost = 115.47, Rho = -1.230
(iter 9) [0.0, 1.0464] = 113.2809, sampling [0.0, 1.0691]. Recommendation = [0.0, 1.0464], Current Cost = 127.02, Rho = -1.230
(iter 11) [0.0, 1.0691] = 113.2903, sampling [0.0, 1.0569]. Recommendation = [0.0, 1.0691], Current Cost = 138.57, Rho = -1.230
(iter 11) [0.0, 1.0691] = 113.2903, sampling [0.0, 1.0942]. Recommendation = [0.0, 1.0691], Current Cost = 150.12, Rho = -1.230
(iter 13) [0.0, 1.0942] = 113.2966, sampling [0.0, 1.0838]. Recommendation = [0.0, 1.0942], Current Cost = 161.66, Rho = -1.230
(iter 13) [0.0, 1.0942] = 113.2966, sampling [0.0, 1.1182]. Recommendation = [0.0, 1.0942], Current Cost = 173.21, Rho = -1.230
(iter 15) [0.0, 1.1182] = 113.2992, sampling [0.0, 1.1051]. Recommendation = [0.0, 1.1182], Current Cost = 184.76, Rho = -1.230
(iter 15) [0.0, 1.1182] = 113.2992, sampling [0.0, 1.1442]. Recommendation = [0.0, 1.1182], Current Cost = 196.31, Rho = -1.230
(iter 15) [0.0, 1.1182] = 113.2992, sampling [0.0, 1.1304]. Recommendation = [0.0, 1.1182], Current Cost = 207.85, Rho = -1.230
