(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2661]. Recommendation = [0.0, 1.2353], Current Cost = 75.44, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2498]. Recommendation = [0.0, 1.2353], Current Cost = 78.98, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.3054]. Recommendation = [0.0, 1.2353], Current Cost = 82.51, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2838]. Recommendation = [0.0, 1.2353], Current Cost = 86.05, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.3624]. Recommendation = [0.0, 1.2353], Current Cost = 89.59, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.3290]. Recommendation = [0.0, 1.2353], Current Cost = 93.13, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.4395]. Recommendation = [0.0, 1.2353], Current Cost = 96.67, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2426]. Recommendation = [0.0, 1.2353], Current Cost = 100.21, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2580]. Recommendation = [0.0, 1.2353], Current Cost = 103.75, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.3975]. Recommendation = [0.0, 1.2353], Current Cost = 107.29, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.5206]. Recommendation = [0.0, 1.2353], Current Cost = 110.83, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2748]. Recommendation = [0.0, 1.2353], Current Cost = 114.37, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2953]. Recommendation = [0.0, 1.2353], Current Cost = 117.91, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2372]. Recommendation = [0.0, 1.2353], Current Cost = 121.45, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.3174]. Recommendation = [0.0, 1.2353], Current Cost = 124.99, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.3478]. Recommendation = [0.0, 1.2353], Current Cost = 128.53, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2449]. Recommendation = [0.0, 1.2353], Current Cost = 132.07, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2553]. Recommendation = [0.0, 1.2353], Current Cost = 135.61, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2611]. Recommendation = [0.0, 1.2353], Current Cost = 139.15, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.4723]. Recommendation = [0.0, 1.2353], Current Cost = 142.69, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2894]. Recommendation = [0.0, 1.2353], Current Cost = 146.23, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2716]. Recommendation = [0.0, 1.2353], Current Cost = 149.77, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.5772]. Recommendation = [0.0, 1.2353], Current Cost = 153.31, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.3777]. Recommendation = [0.0, 1.2353], Current Cost = 156.85, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2286]. Recommendation = [0.0, 1.2353], Current Cost = 160.39, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2235]. Recommendation = [0.0, 1.2286], Current Cost = 163.93, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2269]. Recommendation = [0.0, 1.2235], Current Cost = 167.47, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2189]. Recommendation = [0.0, 1.2235], Current Cost = 171.01, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2131]. Recommendation = [0.0, 1.2189], Current Cost = 174.55, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2083]. Recommendation = [0.0, 1.2131], Current Cost = 178.08, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.2020]. Recommendation = [0.0, 1.2083], Current Cost = 181.62, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.1984]. Recommendation = [0.0, 1.2020], Current Cost = 185.16, Rho = 0.994
(iter 10) [0.0, 1.2353] = 113.2806, sampling [1.0, 1.1941]. Recommendation = [0.0, 1.1984], Current Cost = 188.70, Rho = 0.994
