(iter 5) [0.0, 1.5187] = 113.1591, sampling [0.0, 1.5159]. Recommendation = [0.0, 1.5187], Current Cost = 57.74, Rho = -1.230
(iter 5) [0.0, 1.5159] = 113.1604, sampling [0.0, 1.5237]. Recommendation = [0.0, 1.5159], Current Cost = 69.28, Rho = -1.230
(iter 5) [0.0, 1.5159] = 113.1604, sampling [0.0, 1.5111]. Recommendation = [0.0, 1.5159], Current Cost = 80.83, Rho = -1.230
(iter 7) [0.0, 1.5111] = 113.1622, sampling [0.0, 1.5049]. Recommendation = [0.0, 1.5111], Current Cost = 92.38, Rho = -1.230
(iter 8) [0.0, 1.5049] = 113.1654, sampling [0.0, 1.5001]. Recommendation = [0.0, 1.5049], Current Cost = 103.93, Rho = -1.230
(iter 9) [0.0, 1.5001] = 113.1672, sampling [0.0, 1.4988]. Recommendation = [0.0, 1.5001], Current Cost = 115.47, Rho = -1.230
(iter 10) [0.0, 1.4988] = 113.1681, sampling [0.0, 1.4951]. Recommendation = [0.0, 1.4988], Current Cost = 127.02, Rho = -1.230
(iter 11) [0.0, 1.4951] = 113.1695, sampling [0.0, 1.4898]. Recommendation = [0.0, 1.4951], Current Cost = 138.57, Rho = -1.230
(iter 12) [0.0, 1.4898] = 113.1722, sampling [0.0, 1.4856]. Recommendation = [0.0, 1.4898], Current Cost = 150.12, Rho = -1.230
(iter 13) [0.0, 1.4856] = 113.1740, sampling [0.0, 1.4825]. Recommendation = [0.0, 1.4856], Current Cost = 161.66, Rho = -1.230
(iter 14) [0.0, 1.4825] = 113.1754, sampling [0.0, 1.4800]. Recommendation = [0.0, 1.4825], Current Cost = 173.21, Rho = -1.230
(iter 15) [0.0, 1.4800] = 113.1767, sampling [0.0, 1.4746]. Recommendation = [0.0, 1.4800], Current Cost = 184.76, Rho = -1.230
(iter 16) [0.0, 1.4746] = 113.1790, sampling [0.0, 1.4711]. Recommendation = [0.0, 1.4746], Current Cost = 196.31, Rho = -1.230
(iter 17) [0.0, 1.4711] = 113.1804, sampling [0.0, 1.4674]. Recommendation = [0.0, 1.4711], Current Cost = 207.85, Rho = -1.230
(iter 18) [0.0, 1.4674] = 113.1822, sampling [0.0, 1.4607]. Recommendation = [0.0, 1.4674], Current Cost = 219.40, Rho = -1.230
(iter 19) [0.0, 1.4607] = 113.1854, sampling [0.0, 1.4599]. Recommendation = [0.0, 1.4607], Current Cost = 230.95, Rho = -1.230
(iter 20) [0.0, 1.4599] = 113.1859, sampling [0.0, 1.4535]. Recommendation = [0.0, 1.4599], Current Cost = 242.50, Rho = -1.230
(iter 21) [0.0, 1.4535] = 113.1887, sampling [0.0, 1.4506]. Recommendation = [0.0, 1.4535], Current Cost = 254.04, Rho = -1.230
