(iter 5) [0.0, 1.0519] = 113.2833, sampling [0.0, 1.0552]. Recommendation = [0.0, 1.0519], Current Cost = 57.74, Rho = -1.230
(iter 5) [0.0, 1.0552] = 113.2851, sampling [0.0, 1.0587]. Recommendation = [0.0, 1.0552], Current Cost = 69.28, Rho = -1.230
(iter 6) [0.0, 1.0587] = 113.2863, sampling [0.0, 1.0632]. Recommendation = [0.0, 1.0587], Current Cost = 80.83, Rho = -1.230
(iter 7) [0.0, 1.0632] = 113.2882, sampling [0.0, 1.0667]. Recommendation = [0.0, 1.0632], Current Cost = 92.38, Rho = -1.230
(iter 8) [0.0, 1.0667] = 113.2893, sampling [0.0, 1.0689]. Recommendation = [0.0, 1.0667], Current Cost = 103.93, Rho = -1.230
(iter 9) [0.0, 1.0689] = 113.2900, sampling [0.0, 1.0750]. Recommendation = [0.0, 1.0689], Current Cost = 115.47, Rho = -1.230
(iter 10) [0.0, 1.0750] = 113.2922, sampling [0.0, 1.0791]. Recommendation = [0.0, 1.0750], Current Cost = 127.02, Rho = -1.230
(iter 11) [0.0, 1.0791] = 113.2933, sampling [0.0, 1.0818]. Recommendation = [0.0, 1.0791], Current Cost = 138.57, Rho = -1.230
(iter 12) [0.0, 1.0818] = 113.2938, sampling [0.0, 1.0876]. Recommendation = [0.0, 1.0818], Current Cost = 150.12, Rho = -1.230
(iter 13) [0.0, 1.0876] = 113.2952, sampling [0.0, 1.0908]. Recommendation = [0.0, 1.0876], Current Cost = 161.66, Rho = -1.230
(iter 14) [0.0, 1.0908] = 113.2958, sampling [0.0, 1.0950]. Recommendation = [0.0, 1.0908], Current Cost = 173.21, Rho = -1.230
(iter 15) [0.0, 1.0950] = 113.2967, sampling [0.0, 1.0987]. Recommendation = [0.0, 1.0950], Current Cost = 184.76, Rho = -1.230
(iter 16) [0.0, 1.0987] = 113.2972, sampling [0.0, 1.1005]. Recommendation = [0.0, 1.0987], Current Cost = 196.31, Rho = -1.230
(iter 17) [0.0, 1.1005] = 113.2975, sampling [0.0, 1.1051]. Recommendation = [0.0, 1.1005], Current Cost = 207.85, Rho = -1.230
(iter 18) [0.0, 1.1051] = 113.2981, sampling [0.0, 1.1108]. Recommendation = [0.0, 1.1051], Current Cost = 219.40, Rho = -1.230
(iter 19) [0.0, 1.1108] = 113.2987, sampling [0.0, 1.1150]. Recommendation = [0.0, 1.1108], Current Cost = 230.95, Rho = -1.230
(iter 20) [0.0, 1.1150] = 113.2990, sampling [0.0, 1.1178]. Recommendation = [0.0, 1.1150], Current Cost = 242.50, Rho = -1.230
(iter 21) [0.0, 1.1178] = 113.2992, sampling [0.0, 1.1206]. Recommendation = [0.0, 1.1178], Current Cost = 254.04, Rho = -1.230
(iter 22) [0.0, 1.1206] = 113.2993, sampling [0.0, 1.1271]. Recommendation = [0.0, 1.1206], Current Cost = 265.59, Rho = -1.230
(iter 23) [0.0, 1.1271] = 113.2995, sampling [0.0, 1.1303]. Recommendation = [0.0, 1.1271], Current Cost = 277.14, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1321]. Recommendation = [0.0, 1.1271], Current Cost = 288.69, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1388]. Recommendation = [0.0, 1.1303], Current Cost = 300.23, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1422]. Recommendation = [0.0, 1.1303], Current Cost = 311.78, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1468]. Recommendation = [0.0, 1.1303], Current Cost = 323.33, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1517]. Recommendation = [0.0, 1.1303], Current Cost = 334.88, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1559]. Recommendation = [0.0, 1.1303], Current Cost = 346.42, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1594]. Recommendation = [0.0, 1.1303], Current Cost = 357.97, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1622]. Recommendation = [0.0, 1.1303], Current Cost = 369.52, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1643]. Recommendation = [0.0, 1.1303], Current Cost = 381.07, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1716]. Recommendation = [0.0, 1.1303], Current Cost = 392.61, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1757]. Recommendation = [0.0, 1.1303], Current Cost = 404.16, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1839]. Recommendation = [0.0, 1.1303], Current Cost = 415.71, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1882]. Recommendation = [0.0, 1.1303], Current Cost = 427.26, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1941]. Recommendation = [0.0, 1.1303], Current Cost = 438.80, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2004]. Recommendation = [0.0, 1.1303], Current Cost = 450.35, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1865]. Recommendation = [0.0, 1.1303], Current Cost = 461.90, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1969]. Recommendation = [0.0, 1.1303], Current Cost = 473.45, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.1763]. Recommendation = [0.0, 1.1303], Current Cost = 484.99, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2067]. Recommendation = [0.0, 1.1303], Current Cost = 496.54, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2177]. Recommendation = [0.0, 1.1303], Current Cost = 508.09, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2127]. Recommendation = [0.0, 1.1303], Current Cost = 519.64, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2305]. Recommendation = [0.0, 1.1303], Current Cost = 531.18, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2238]. Recommendation = [0.0, 1.1303], Current Cost = 542.73, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2453]. Recommendation = [0.0, 1.1303], Current Cost = 554.28, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2384]. Recommendation = [0.0, 1.1303], Current Cost = 565.83, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2106]. Recommendation = [0.0, 1.1303], Current Cost = 577.37, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2607]. Recommendation = [0.0, 1.1303], Current Cost = 588.92, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2834]. Recommendation = [0.0, 1.1303], Current Cost = 600.47, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2695]. Recommendation = [0.0, 1.1303], Current Cost = 612.02, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2551]. Recommendation = [0.0, 1.1303], Current Cost = 623.56, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3092]. Recommendation = [0.0, 1.1303], Current Cost = 635.11, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3467]. Recommendation = [0.0, 1.1303], Current Cost = 646.66, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0458]. Recommendation = [0.0, 1.1303], Current Cost = 658.21, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2323]. Recommendation = [0.0, 1.1303], Current Cost = 669.75, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2486]. Recommendation = [0.0, 1.1303], Current Cost = 681.30, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2920]. Recommendation = [0.0, 1.1303], Current Cost = 692.85, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2419]. Recommendation = [0.0, 1.1303], Current Cost = 704.40, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0374]. Recommendation = [0.0, 1.1303], Current Cost = 715.94, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0437]. Recommendation = [0.0, 1.1303], Current Cost = 727.49, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3252]. Recommendation = [0.0, 1.1303], Current Cost = 739.04, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3878]. Recommendation = [0.0, 1.1303], Current Cost = 750.59, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2768]. Recommendation = [0.0, 1.1303], Current Cost = 762.13, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0283]. Recommendation = [0.0, 1.1303], Current Cost = 773.68, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0322]. Recommendation = [0.0, 1.1303], Current Cost = 785.23, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0184]. Recommendation = [0.0, 1.1303], Current Cost = 796.78, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0235]. Recommendation = [0.0, 1.1303], Current Cost = 808.32, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2987]. Recommendation = [0.0, 1.1303], Current Cost = 819.87, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.4252]. Recommendation = [0.0, 1.1303], Current Cost = 831.42, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3638]. Recommendation = [0.0, 1.1303], Current Cost = 842.97, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0098]. Recommendation = [0.0, 1.1303], Current Cost = 854.51, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2242]. Recommendation = [0.0, 1.1303], Current Cost = 866.06, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2720]. Recommendation = [0.0, 1.1303], Current Cost = 877.61, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3352]. Recommendation = [0.0, 1.1303], Current Cost = 889.16, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2676]. Recommendation = [0.0, 1.1303], Current Cost = 900.70, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3159]. Recommendation = [0.0, 1.1303], Current Cost = 912.25, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 0.9994]. Recommendation = [0.0, 1.1303], Current Cost = 923.80, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2590]. Recommendation = [0.0, 1.1303], Current Cost = 935.35, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3046]. Recommendation = [0.0, 1.1303], Current Cost = 946.89, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0133]. Recommendation = [0.0, 1.1303], Current Cost = 958.44, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 0.9863]. Recommendation = [0.0, 1.1303], Current Cost = 969.99, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0258]. Recommendation = [0.0, 1.1303], Current Cost = 981.54, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.4057]. Recommendation = [0.0, 1.1303], Current Cost = 993.08, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.4482]. Recommendation = [0.0, 1.1303], Current Cost = 1004.63, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3732]. Recommendation = [0.0, 1.1303], Current Cost = 1016.18, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0033]. Recommendation = [0.0, 1.1303], Current Cost = 1027.73, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 0.9685]. Recommendation = [0.0, 1.1303], Current Cost = 1039.27, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 0.9928]. Recommendation = [0.0, 1.1303], Current Cost = 1050.82, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3540]. Recommendation = [0.0, 1.1303], Current Cost = 1062.37, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3212]. Recommendation = [0.0, 1.1303], Current Cost = 1073.92, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 0.9783]. Recommendation = [0.0, 1.1303], Current Cost = 1085.46, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.0069]. Recommendation = [0.0, 1.1303], Current Cost = 1097.01, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3416]. Recommendation = [0.0, 1.1303], Current Cost = 1108.56, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3023]. Recommendation = [0.0, 1.1303], Current Cost = 1120.11, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3282]. Recommendation = [0.0, 1.1303], Current Cost = 1131.65, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 0.9506]. Recommendation = [0.0, 1.1303], Current Cost = 1143.20, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3980]. Recommendation = [0.0, 1.1303], Current Cost = 1154.75, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.5225]. Recommendation = [0.0, 1.1303], Current Cost = 1166.30, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.4602]. Recommendation = [0.0, 1.1303], Current Cost = 1177.84, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.2843]. Recommendation = [0.0, 1.1303], Current Cost = 1189.39, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.5003]. Recommendation = [0.0, 1.1303], Current Cost = 1200.94, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.5705]. Recommendation = [0.0, 1.1303], Current Cost = 1212.49, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.4360]. Recommendation = [0.0, 1.1303], Current Cost = 1224.03, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.4130]. Recommendation = [0.0, 1.1303], Current Cost = 1235.58, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3776]. Recommendation = [0.0, 1.1303], Current Cost = 1247.13, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3187]. Recommendation = [0.0, 1.1303], Current Cost = 1258.68, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.6326]. Recommendation = [0.0, 1.1303], Current Cost = 1270.22, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.7093]. Recommendation = [0.0, 1.1303], Current Cost = 1281.77, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 0.9288]. Recommendation = [0.0, 1.1303], Current Cost = 1293.32, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.5435]. Recommendation = [0.0, 1.1303], Current Cost = 1304.87, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.3575]. Recommendation = [0.0, 1.1303], Current Cost = 1316.41, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.8059]. Recommendation = [0.0, 1.1303], Current Cost = 1327.96, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 1.6002]. Recommendation = [0.0, 1.1303], Current Cost = 1339.51, Rho = -1.230
(iter 24) [0.0, 1.1303] = 113.2995, sampling [0.0, 0.9586]. Recommendation = [0.0, 1.1303], Current Cost = 1351.06, Rho = -1.230
