(iter 5) [0.0, 0.9461] = 113.1830, sampling [0.0, 1.6188]. Recommendation = [0.0, 0.9461], Current Cost = 57.74, Rho = -1.230
(iter 5) [0.0, 0.9461] = 113.1830, sampling [0.0, 1.0073]. Recommendation = [0.0, 0.9461], Current Cost = 69.28, Rho = -1.230
(iter 6) [0.0, 1.0073] = 113.2553, sampling [0.0, 1.0701]. Recommendation = [0.0, 1.0073], Current Cost = 80.83, Rho = -1.230
(iter 7) [0.0, 1.0701] = 113.2906, sampling [0.0, 1.1477]. Recommendation = [0.0, 1.0701], Current Cost = 92.38, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.1084]. Recommendation = [0.0, 1.1477], Current Cost = 103.93, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.2358]. Recommendation = [0.0, 1.1477], Current Cost = 115.47, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.1913]. Recommendation = [0.0, 1.1477], Current Cost = 127.02, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.3338]. Recommendation = [0.0, 1.1477], Current Cost = 138.57, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.2809]. Recommendation = [0.0, 1.1477], Current Cost = 150.12, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.4160]. Recommendation = [0.0, 1.1477], Current Cost = 161.66, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.1683]. Recommendation = [0.0, 1.1477], Current Cost = 173.21, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.0409]. Recommendation = [0.0, 1.1477], Current Cost = 184.76, Rho = -1.230
(iter 8) [0.0, 1.1477] = 113.2989, sampling [0.0, 1.1277]. Recommendation = [0.0, 1.1477], Current Cost = 196.31, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2122]. Recommendation = [0.0, 1.1277], Current Cost = 207.85, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.0917]. Recommendation = [0.0, 1.1277], Current Cost = 219.40, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2561]. Recommendation = [0.0, 1.1277], Current Cost = 230.95, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.3713]. Recommendation = [0.0, 1.1277], Current Cost = 242.50, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.3063]. Recommendation = [0.0, 1.1277], Current Cost = 254.04, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.4756]. Recommendation = [0.0, 1.1277], Current Cost = 265.59, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1781]. Recommendation = [0.0, 1.1277], Current Cost = 277.14, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.0543]. Recommendation = [0.0, 1.1277], Current Cost = 288.69, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1391]. Recommendation = [0.0, 1.1277], Current Cost = 300.23, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1565]. Recommendation = [0.0, 1.1277], Current Cost = 311.78, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1198]. Recommendation = [0.0, 1.1277], Current Cost = 323.33, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.0820]. Recommendation = [0.0, 1.1277], Current Cost = 334.88, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.0260]. Recommendation = [0.0, 1.1277], Current Cost = 346.42, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2004]. Recommendation = [0.0, 1.1277], Current Cost = 357.97, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1012]. Recommendation = [0.0, 1.1277], Current Cost = 369.52, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2209]. Recommendation = [0.0, 1.1277], Current Cost = 381.07, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 0.9809]. Recommendation = [0.0, 1.1277], Current Cost = 392.61, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1141]. Recommendation = [0.0, 1.1277], Current Cost = 404.16, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2674]. Recommendation = [0.0, 1.1277], Current Cost = 415.71, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1622]. Recommendation = [0.0, 1.1277], Current Cost = 427.26, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1323]. Recommendation = [0.0, 1.1277], Current Cost = 438.80, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2448]. Recommendation = [0.0, 1.1277], Current Cost = 450.35, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.0607]. Recommendation = [0.0, 1.1277], Current Cost = 461.90, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1861]. Recommendation = [0.0, 1.1277], Current Cost = 473.45, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.0753]. Recommendation = [0.0, 1.1277], Current Cost = 484.99, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2943]. Recommendation = [0.0, 1.1277], Current Cost = 496.54, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.3503]. Recommendation = [0.0, 1.1277], Current Cost = 508.09, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2290]. Recommendation = [0.0, 1.1277], Current Cost = 519.64, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.1513]. Recommendation = [0.0, 1.1277], Current Cost = 531.18, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.0864]. Recommendation = [0.0, 1.1277], Current Cost = 542.73, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.2063]. Recommendation = [0.0, 1.1277], Current Cost = 554.28, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.4409]. Recommendation = [0.0, 1.1277], Current Cost = 565.83, Rho = -1.230
(iter 17) [0.0, 1.1277] = 113.2995, sampling [0.0, 1.3922]. Recommendation = [0.0, 1.1277], Current Cost = 577.37, Rho = -1.230
