(iter 10) [0.0, 1.3774] = 113.2235, sampling [1.0, 1.3733]. Recommendation = [0.0, 1.3774], Current Cost = 75.44, Rho = 1.000
(iter 10) [0.0, 1.3774] = 113.2235, sampling [1.0, 1.3807]. Recommendation = [0.0, 1.3774], Current Cost = 78.98, Rho = 1.000
(iter 10) [0.0, 1.3774] = 113.2235, sampling [0.0, 1.3714]. Recommendation = [0.0, 1.3774], Current Cost = 82.51, Rho = 1.000
(iter 12) [0.0, 1.3714] = 113.2263, sampling [1.0, 1.3714]. Recommendation = [0.0, 1.3714], Current Cost = 94.06, Rho = 1.000
(iter 12) [0.0, 1.3714] = 113.2263, sampling [1.0, 1.3675]. Recommendation = [0.0, 1.3714], Current Cost = 97.60, Rho = 1.000
(iter 12) [0.0, 1.3714] = 113.2263, sampling [0.0, 1.3675]. Recommendation = [0.0, 1.3714], Current Cost = 101.14, Rho = 1.000
(iter 15) [0.0, 1.3675] = 113.2281, sampling [1.0, 1.3618]. Recommendation = [0.0, 1.3675], Current Cost = 112.69, Rho = 1.000
(iter 15) [0.0, 1.3675] = 113.2281, sampling [0.0, 1.3618]. Recommendation = [0.0, 1.3675], Current Cost = 116.23, Rho = 1.000
(iter 17) [0.0, 1.3618] = 113.2307, sampling [1.0, 1.3583]. Recommendation = [0.0, 1.3618], Current Cost = 127.78, Rho = 1.000
(iter 17) [0.0, 1.3618] = 113.2307, sampling [0.0, 1.3529]. Recommendation = [0.0, 1.3618], Current Cost = 131.32, Rho = 1.000
(iter 19) [0.0, 1.3529] = 113.2347, sampling [1.0, 1.3500]. Recommendation = [0.0, 1.3529], Current Cost = 142.86, Rho = 1.000
(iter 19) [0.0, 1.3529] = 113.2347, sampling [1.0, 1.3529]. Recommendation = [0.0, 1.3529], Current Cost = 146.40, Rho = 1.000
(iter 19) [0.0, 1.3529] = 113.2347, sampling [1.0, 1.3444]. Recommendation = [0.0, 1.3529], Current Cost = 149.94, Rho = 1.000
(iter 19) [0.0, 1.3529] = 113.2347, sampling [0.0, 1.3444]. Recommendation = [0.0, 1.3529], Current Cost = 153.48, Rho = 1.000
(iter 23) [0.0, 1.3444] = 113.2383, sampling [1.0, 1.3409]. Recommendation = [0.0, 1.3444], Current Cost = 165.03, Rho = 1.000
(iter 23) [0.0, 1.3444] = 113.2383, sampling [0.0, 1.3393]. Recommendation = [0.0, 1.3444], Current Cost = 168.57, Rho = 1.000
(iter 25) [0.0, 1.3393] = 113.2405, sampling [1.0, 1.3393]. Recommendation = [0.0, 1.3393], Current Cost = 180.12, Rho = 1.000
(iter 25) [0.0, 1.3393] = 113.2405, sampling [1.0, 1.3326]. Recommendation = [0.0, 1.3393], Current Cost = 183.66, Rho = 1.000
