(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1684]. Recommendation = [0.0, 0.9590], Current Cost = 75.44, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.2750]. Recommendation = [0.0, 1.1684], Current Cost = 78.98, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.0828]. Recommendation = [0.0, 1.1684], Current Cost = 82.51, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.2187]. Recommendation = [0.0, 1.0828], Current Cost = 86.05, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1242]. Recommendation = [0.0, 1.0828], Current Cost = 89.59, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.3473]. Recommendation = [0.0, 1.1242], Current Cost = 93.13, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.0345]. Recommendation = [0.0, 1.1242], Current Cost = 96.67, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1941]. Recommendation = [0.0, 1.1242], Current Cost = 100.21, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1449]. Recommendation = [0.0, 1.1242], Current Cost = 103.75, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1037]. Recommendation = [0.0, 1.1242], Current Cost = 107.29, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.0589]. Recommendation = [0.0, 1.1242], Current Cost = 110.83, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.2473]. Recommendation = [0.0, 1.1242], Current Cost = 114.37, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.3102]. Recommendation = [0.0, 1.1242], Current Cost = 117.91, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.0007]. Recommendation = [0.0, 1.1242], Current Cost = 121.45, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.3903]. Recommendation = [0.0, 1.1242], Current Cost = 124.99, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1816]. Recommendation = [0.0, 1.1242], Current Cost = 128.53, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1554]. Recommendation = [0.0, 1.1242], Current Cost = 132.07, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1147]. Recommendation = [0.0, 1.1242], Current Cost = 135.61, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.1333]. Recommendation = [0.0, 1.1242], Current Cost = 139.15, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.0921]. Recommendation = [0.0, 1.1242], Current Cost = 142.69, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.0683]. Recommendation = [0.0, 1.1242], Current Cost = 146.23, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.2063]. Recommendation = [0.0, 1.1242], Current Cost = 149.77, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.2305]. Recommendation = [0.0, 1.1242], Current Cost = 153.31, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.0168]. Recommendation = [0.0, 1.1242], Current Cost = 156.85, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.5250]. Recommendation = [0.0, 1.1242], Current Cost = 160.39, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.0472]. Recommendation = [0.0, 1.1242], Current Cost = 163.93, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.4759]. Recommendation = [0.0, 1.1242], Current Cost = 167.47, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.2944]. Recommendation = [0.0, 1.1242], Current Cost = 171.01, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.6631]. Recommendation = [0.0, 1.1242], Current Cost = 174.55, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.2637]. Recommendation = [0.0, 1.1242], Current Cost = 178.08, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.3278]. Recommendation = [0.0, 1.1242], Current Cost = 181.62, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 0.9801]. Recommendation = [0.0, 1.1242], Current Cost = 185.16, Rho = 1.000
(iter 10) [0.0, 0.9590] = 113.2024, sampling [1.0, 1.3697]. Recommendation = [0.0, 1.1242], Current Cost = 188.70, Rho = 1.000
