(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2457]. Recommendation = [0.0, 1.1601], Current Cost = 57.74, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1969]. Recommendation = [0.0, 1.1601], Current Cost = 69.28, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.3197]. Recommendation = [0.0, 1.1601], Current Cost = 80.83, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2788]. Recommendation = [0.0, 1.1601], Current Cost = 92.38, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2188]. Recommendation = [0.0, 1.1601], Current Cost = 103.93, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1772]. Recommendation = [0.0, 1.1601], Current Cost = 115.47, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.3687]. Recommendation = [0.0, 1.1601], Current Cost = 127.02, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2311]. Recommendation = [0.0, 1.1601], Current Cost = 138.57, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2607]. Recommendation = [0.0, 1.1601], Current Cost = 150.12, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1689]. Recommendation = [0.0, 1.1601], Current Cost = 161.66, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2055]. Recommendation = [0.0, 1.1601], Current Cost = 173.21, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1840]. Recommendation = [0.0, 1.1601], Current Cost = 184.76, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2963]. Recommendation = [0.0, 1.1601], Current Cost = 196.31, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.5498]. Recommendation = [0.0, 1.1601], Current Cost = 207.85, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.4001]. Recommendation = [0.0, 1.1601], Current Cost = 219.40, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.3421]. Recommendation = [0.0, 1.1601], Current Cost = 230.95, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.4882]. Recommendation = [0.0, 1.1601], Current Cost = 242.50, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.6519]. Recommendation = [0.0, 1.1601], Current Cost = 254.04, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1919]. Recommendation = [0.0, 1.1601], Current Cost = 265.59, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2118]. Recommendation = [0.0, 1.1601], Current Cost = 277.14, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1652]. Recommendation = [0.0, 1.1601], Current Cost = 288.69, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1733]. Recommendation = [0.0, 1.1601], Current Cost = 300.23, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2385]. Recommendation = [0.0, 1.1601], Current Cost = 311.78, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2712]. Recommendation = [0.0, 1.1601], Current Cost = 323.33, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2268]. Recommendation = [0.0, 1.1601], Current Cost = 334.88, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1805]. Recommendation = [0.0, 1.1601], Current Cost = 346.42, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2020]. Recommendation = [0.0, 1.1601], Current Cost = 357.97, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.3078]. Recommendation = [0.0, 1.1601], Current Cost = 369.52, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2553]. Recommendation = [0.0, 1.1601], Current Cost = 381.07, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2862]. Recommendation = [0.0, 1.1601], Current Cost = 392.61, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.2224]. Recommendation = [0.0, 1.1601], Current Cost = 404.16, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.5991]. Recommendation = [0.0, 1.1601], Current Cost = 415.71, Rho = -1.230
(iter 5) [0.0, 1.1601] = 113.2976, sampling [0.0, 1.1541]. Recommendation = [0.0, 1.1601], Current Cost = 427.26, Rho = -1.230
(iter 37) [0.0, 1.1541] = 113.2983, sampling [0.0, 1.1575]. Recommendation = [0.0, 1.1541], Current Cost = 438.80, Rho = -1.230
(iter 37) [0.0, 1.1541] = 113.2983, sampling [0.0, 1.3294]. Recommendation = [0.0, 1.1541], Current Cost = 450.35, Rho = -1.230
(iter 37) [0.0, 1.1541] = 113.2983, sampling [0.0, 1.1511]. Recommendation = [0.0, 1.1541], Current Cost = 461.90, Rho = -1.230
(iter 40) [0.0, 1.1511] = 113.2986, sampling [0.0, 1.1452]. Recommendation = [0.0, 1.1511], Current Cost = 473.45, Rho = -1.230
(iter 41) [0.0, 1.1452] = 113.2990, sampling [0.0, 1.1413]. Recommendation = [0.0, 1.1452], Current Cost = 484.99, Rho = -1.230
(iter 42) [0.0, 1.1413] = 113.2992, sampling [0.0, 1.1370]. Recommendation = [0.0, 1.1413], Current Cost = 496.54, Rho = -1.230
(iter 43) [0.0, 1.1370] = 113.2994, sampling [0.0, 1.1307]. Recommendation = [0.0, 1.1370], Current Cost = 508.09, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1351]. Recommendation = [0.0, 1.1307], Current Cost = 519.64, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1273]. Recommendation = [0.0, 1.1307], Current Cost = 531.18, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1233]. Recommendation = [0.0, 1.1307], Current Cost = 542.73, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1174]. Recommendation = [0.0, 1.1307], Current Cost = 554.28, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1123]. Recommendation = [0.0, 1.1307], Current Cost = 565.83, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.7199]. Recommendation = [0.0, 1.1307], Current Cost = 577.37, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1088]. Recommendation = [0.0, 1.1307], Current Cost = 588.92, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1045]. Recommendation = [0.0, 1.1307], Current Cost = 600.47, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0987]. Recommendation = [0.0, 1.1307], Current Cost = 612.02, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1031]. Recommendation = [0.0, 1.1307], Current Cost = 623.56, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.4188]. Recommendation = [0.0, 1.1307], Current Cost = 635.11, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3555]. Recommendation = [0.0, 1.1307], Current Cost = 646.66, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0932]. Recommendation = [0.0, 1.1307], Current Cost = 658.21, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0891]. Recommendation = [0.0, 1.1307], Current Cost = 669.75, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3835]. Recommendation = [0.0, 1.1307], Current Cost = 681.30, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0840]. Recommendation = [0.0, 1.1307], Current Cost = 692.85, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0764]. Recommendation = [0.0, 1.1307], Current Cost = 704.40, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2665]. Recommendation = [0.0, 1.1307], Current Cost = 715.94, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.1933]. Recommendation = [0.0, 1.1307], Current Cost = 727.49, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0713]. Recommendation = [0.0, 1.1307], Current Cost = 739.04, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.5174]. Recommendation = [0.0, 1.1307], Current Cost = 750.59, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0647]. Recommendation = [0.0, 1.1307], Current Cost = 762.13, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.4617]. Recommendation = [0.0, 1.1307], Current Cost = 773.68, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2133]. Recommendation = [0.0, 1.1307], Current Cost = 785.23, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2483]. Recommendation = [0.0, 1.1307], Current Cost = 796.78, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2333]. Recommendation = [0.0, 1.1307], Current Cost = 808.32, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0583]. Recommendation = [0.0, 1.1307], Current Cost = 819.87, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0610]. Recommendation = [0.0, 1.1307], Current Cost = 831.42, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2430]. Recommendation = [0.0, 1.1307], Current Cost = 842.97, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0534]. Recommendation = [0.0, 1.1307], Current Cost = 854.51, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0755]. Recommendation = [0.0, 1.1307], Current Cost = 866.06, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0456]. Recommendation = [0.0, 1.1307], Current Cost = 877.61, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0512]. Recommendation = [0.0, 1.1307], Current Cost = 889.16, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2914]. Recommendation = [0.0, 1.1307], Current Cost = 900.70, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0382]. Recommendation = [0.0, 1.1307], Current Cost = 912.25, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0428]. Recommendation = [0.0, 1.1307], Current Cost = 923.80, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3010]. Recommendation = [0.0, 1.1307], Current Cost = 935.35, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0306]. Recommendation = [0.0, 1.1307], Current Cost = 946.89, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0353]. Recommendation = [0.0, 1.1307], Current Cost = 958.44, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3148]. Recommendation = [0.0, 1.1307], Current Cost = 969.99, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2759]. Recommendation = [0.0, 1.1307], Current Cost = 981.54, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0233]. Recommendation = [0.0, 1.1307], Current Cost = 993.08, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2824]. Recommendation = [0.0, 1.1307], Current Cost = 1004.63, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0166]. Recommendation = [0.0, 1.1307], Current Cost = 1016.18, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3496]. Recommendation = [0.0, 1.1307], Current Cost = 1027.73, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0075]. Recommendation = [0.0, 1.1307], Current Cost = 1039.27, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0125]. Recommendation = [0.0, 1.1307], Current Cost = 1050.82, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2592]. Recommendation = [0.0, 1.1307], Current Cost = 1062.37, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.5726]. Recommendation = [0.0, 1.1307], Current Cost = 1073.92, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3380]. Recommendation = [0.0, 1.1307], Current Cost = 1085.46, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.4307]. Recommendation = [0.0, 1.1307], Current Cost = 1097.01, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3759]. Recommendation = [0.0, 1.1307], Current Cost = 1108.56, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9986]. Recommendation = [0.0, 1.1307], Current Cost = 1120.11, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0027]. Recommendation = [0.0, 1.1307], Current Cost = 1131.65, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.9095]. Recommendation = [0.0, 1.1307], Current Cost = 1143.20, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 2.0540]. Recommendation = [0.0, 1.1307], Current Cost = 1154.75, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.8528]. Recommendation = [0.0, 1.1307], Current Cost = 1166.30, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 2.2042]. Recommendation = [0.0, 1.1307], Current Cost = 1177.84, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3629]. Recommendation = [0.0, 1.1307], Current Cost = 1189.39, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.6842]. Recommendation = [0.0, 1.1307], Current Cost = 1200.94, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.7586]. Recommendation = [0.0, 1.1307], Current Cost = 1212.49, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0246]. Recommendation = [0.0, 1.1307], Current Cost = 1224.03, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3895]. Recommendation = [0.0, 1.1307], Current Cost = 1235.58, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.6223]. Recommendation = [0.0, 1.1307], Current Cost = 1247.13, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.9726]. Recommendation = [0.0, 1.1307], Current Cost = 1258.68, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.4747]. Recommendation = [0.0, 1.1307], Current Cost = 1270.22, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.4119]. Recommendation = [0.0, 1.1307], Current Cost = 1281.77, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9910]. Recommendation = [0.0, 1.1307], Current Cost = 1293.32, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3331]. Recommendation = [0.0, 1.1307], Current Cost = 1304.87, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.5021]. Recommendation = [0.0, 1.1307], Current Cost = 1316.41, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3100]. Recommendation = [0.0, 1.1307], Current Cost = 1327.96, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0839]. Recommendation = [0.0, 1.1307], Current Cost = 1339.51, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9811]. Recommendation = [0.0, 1.1307], Current Cost = 1351.06, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9946]. Recommendation = [0.0, 1.1307], Current Cost = 1362.60, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.5305]. Recommendation = [0.0, 1.1307], Current Cost = 1374.15, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9878]. Recommendation = [0.0, 1.1307], Current Cost = 1385.70, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.4502]. Recommendation = [0.0, 1.1307], Current Cost = 1397.25, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.0099]. Recommendation = [0.0, 1.1307], Current Cost = 1408.79, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9718]. Recommendation = [0.0, 1.1307], Current Cost = 1420.34, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3275]. Recommendation = [0.0, 1.1307], Current Cost = 1431.89, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3452]. Recommendation = [0.0, 1.1307], Current Cost = 1443.44, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 2.3078]. Recommendation = [0.0, 1.1307], Current Cost = 1454.98, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.4054]. Recommendation = [0.0, 1.1307], Current Cost = 1466.53, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9591]. Recommendation = [0.0, 1.1307], Current Cost = 1478.08, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9664]. Recommendation = [0.0, 1.1307], Current Cost = 1489.63, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 2.1231]. Recommendation = [0.0, 1.1307], Current Cost = 1501.17, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.3938]. Recommendation = [0.0, 1.1307], Current Cost = 1512.72, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9780]. Recommendation = [0.0, 1.1307], Current Cost = 1524.27, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.4239]. Recommendation = [0.0, 1.1307], Current Cost = 1535.82, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9476]. Recommendation = [0.0, 1.1307], Current Cost = 1547.36, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.5845]. Recommendation = [0.0, 1.1307], Current Cost = 1558.91, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.2955]. Recommendation = [0.0, 1.1307], Current Cost = 1570.46, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9528]. Recommendation = [0.0, 1.1307], Current Cost = 1582.01, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.5590]. Recommendation = [0.0, 1.1307], Current Cost = 1593.55, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.8269]. Recommendation = [0.0, 1.1307], Current Cost = 1605.10, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 0.9340]. Recommendation = [0.0, 1.1307], Current Cost = 1616.65, Rho = -1.230
(iter 44) [0.0, 1.1307] = 113.2995, sampling [0.0, 1.6370]. Recommendation = [0.0, 1.1307], Current Cost = 1628.20, Rho = -1.230
