(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.5474, 0.8492]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.9781, 0.5681]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.3407, 1.4471]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.2305, 0.5728]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -1.2231, 0.0107]. Recommendation = [0.0, -0.6420, 0.4923], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.6420, 0.4923]. Recommendation = [0.0, -0.6420, 0.4923], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.9557, 1.0525]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.7968, 0.8011]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -1.3189, 0.8086]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.1461, 0.8870]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, -0.6162, 0.3066] = 453.1530, sampling [0.0, -0.3252, 0.1037]. Recommendation = [0.0, -0.6162, 0.3066], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.4383, 0.3163]. Recommendation = [0.0, -0.4383, 0.3163], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.5375, -0.2308]. Recommendation = [0.0, -0.5752, 0.4715], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.6675, 0.0832]. Recommendation = [0.0, -0.5774, 0.3121], Current Cost = 18000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.0317, 0.3657]. Recommendation = [0.0, -0.4660, 0.0881], Current Cost = 19000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.7352, 1.1749]. Recommendation = [0.0, -0.3896, 0.2746], Current Cost = 20000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.1235, -0.0799]. Recommendation = [0.0, -0.3896, 0.2746], Current Cost = 21000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.3469, -0.0922]. Recommendation = [0.0, -0.2952, 0.0264], Current Cost = 22000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.1021, 0.1213]. Recommendation = [0.0, -0.2952, 0.0264], Current Cost = 23000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.6920, -0.8859]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 24000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.4593, 0.5679]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 25000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, 0.2259, 0.6139]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 26000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.1943, -0.3861]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 27000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -1.0085, 1.5579]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 28000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -1.1181, 1.2135]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 29000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.7924, 1.9868]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 30000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, 0.5351, 1.9425]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 31000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -1.0355, 0.8890]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 32000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.9127, 1.3526]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 33000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -1.8861, -1.0172]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 34000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.4553, -0.5026]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 35000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, -0.2394, 0.4035]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 36000.00, Rho = -1.230
(iter 15) [0.0, -0.3252, 0.1037] = 454.5434, sampling [0.0, 0.3727, 0.2416]. Recommendation = [0.0, -0.2214, 0.1455], Current Cost = 37000.00, Rho = -1.230
(iter 37) [0.0, 0.3727, 0.2416] = 454.8512, sampling [0.0, 0.2350, -0.0964]. Recommendation = [0.0, -0.1641, -0.0663], Current Cost = 38000.00, Rho = -1.230
(iter 37) [0.0, 0.3727, 0.2416] = 454.8512, sampling [0.0, 0.0605, 0.1246]. Recommendation = [0.0, 0.0605, 0.1246], Current Cost = 39000.00, Rho = -1.230
(iter 37) [0.0, 0.3727, 0.2416] = 454.8512, sampling [0.0, -0.0154, -0.2543]. Recommendation = [0.0, 0.0286, 0.0603], Current Cost = 40000.00, Rho = -1.230
(iter 37) [0.0, 0.3727, 0.2416] = 454.8512, sampling [0.0, 0.2483, 0.4175]. Recommendation = [0.0, 0.0144, -0.1188], Current Cost = 41000.00, Rho = -1.230
(iter 37) [0.0, 0.3727, 0.2416] = 454.8512, sampling [0.0, 0.6209, 0.6084]. Recommendation = [0.0, 0.0144, -0.1188], Current Cost = 42000.00, Rho = -1.230
(iter 37) [0.0, 0.3727, 0.2416] = 454.8512, sampling [0.0, 0.7235, 0.9292]. Recommendation = [0.0, 0.0286, 0.0603], Current Cost = 43000.00, Rho = -1.230
(iter 37) [0.0, 0.3727, 0.2416] = 454.8512, sampling [0.0, 1.0828, 1.2459]. Recommendation = [0.0, 0.0286, 0.0603], Current Cost = 44000.00, Rho = -1.230
(iter 44) [0.0, 1.0828, 1.2459] = 455.7522, sampling [0.0, 0.7777, 1.2374]. Recommendation = [0.0, 0.0286, 0.0603], Current Cost = 45000.00, Rho = -1.230
(iter 44) [0.0, 1.0828, 1.2459] = 455.7522, sampling [0.0, 1.1039, 0.9682]. Recommendation = [0.0, 0.0286, 0.0603], Current Cost = 46000.00, Rho = -1.230
(iter 44) [0.0, 1.0828, 1.2459] = 455.7522, sampling [0.0, 1.4216, 1.5847]. Recommendation = [0.0, 0.0286, 0.0603], Current Cost = 47000.00, Rho = -1.230
(iter 44) [0.0, 1.0828, 1.2459] = 455.7522, sampling [0.0, 1.5279, 1.2562]. Recommendation = [0.0, 0.0286, 0.0603], Current Cost = 48000.00, Rho = -1.230
(iter 44) [0.0, 1.0828, 1.2459] = 455.7522, sampling [0.0, 1.1276, 1.6426]. Recommendation = [0.0, 0.0286, 0.0603], Current Cost = 49000.00, Rho = -1.230
