(iter 5) [0.0, -0.1786, -0.3184] = 442.6433, sampling [0.0, 0.0973, 0.1620]. Recommendation = [0.0, -0.1786, -0.3184], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.0973, 0.1620] = 453.1585, sampling [0.0, 0.2094, -0.1245]. Recommendation = [0.0, 0.0973, 0.1620], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.0973, 0.1620] = 453.1585, sampling [0.0, 0.1578, 0.6361]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.0973, 0.1620] = 453.1585, sampling [0.0, 0.4637, 0.2562]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, -0.0832, 0.0418]. Recommendation = [0.0, 0.1944, 0.0602], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.5718, 0.9597]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.4866, 0.5091]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, -0.2853, 0.5379]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.0027, 1.0543]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 13000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, -0.1115, 0.3548]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 14000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.1696, 0.3650]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 15000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.4719, -0.0130]. Recommendation = [0.0, 0.0755, -0.0643], Current Cost = 16000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, -0.4278, 0.1115]. Recommendation = [0.0, 0.2205, 0.0704], Current Cost = 17000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.2982, 0.1986]. Recommendation = [0.0, 0.2205, 0.0704], Current Cost = 18000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.0439, -0.1575]. Recommendation = [0.0, 0.1944, 0.0602], Current Cost = 19000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.7394, 0.6173]. Recommendation = [0.0, 0.1944, 0.0602], Current Cost = 20000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.7544, 0.3062]. Recommendation = [0.0, 0.1944, 0.0602], Current Cost = 21000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.3922, -0.4280]. Recommendation = [0.0, 0.1944, 0.0602], Current Cost = 22000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.6943, -0.1232]. Recommendation = [0.0, 0.1944, 0.0602], Current Cost = 23000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, 0.5088, 0.7027]. Recommendation = [0.0, 0.1944, 0.0602], Current Cost = 24000.00, Rho = -1.230
(iter 8) [0.0, 0.4637, 0.2562] = 455.8427, sampling [0.0, -0.3062, -0.1621]. Recommendation = [0.0, 0.1944, 0.0602], Current Cost = 25000.00, Rho = -1.230
