(iter 5) [0.0, 0.5041, -0.2978] = 425.5887, sampling [0.0, 0.0313, 0.1057]. Recommendation = [0.0, 0.5041, -0.2978], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.5781, 0.4508]. Recommendation = [0.0, 0.0313, 0.1057], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.9240, 0.8777]. Recommendation = [0.0, 0.0313, 0.1057], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.7190, 1.3919]. Recommendation = [0.0, 0.0313, 0.1057], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.3536, 0.0305]. Recommendation = [0.0, 0.0313, 0.1057], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.1952, 0.3801]. Recommendation = [0.0, -0.3435, 0.1270], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -1.1722, 0.4040]. Recommendation = [0.0, -0.3435, 0.1270], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.6389, 0.7951]. Recommendation = [0.0, -0.3435, 0.1270], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, 0.0594, -0.2103]. Recommendation = [0.0, -0.3435, 0.1270], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -1.3043, 0.9804]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.6685, 0.1418]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, 0.3187, -0.0636]. Recommendation = [0.0, -0.3435, 0.1270], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, 0.1545, 0.3718]. Recommendation = [0.0, 0.1852, -0.1337], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.3644, -0.3032]. Recommendation = [0.0, 0.2339, -0.0823], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.1592, -0.0888]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -1.0990, 1.2357]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 20000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -1.0069, 1.9027]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 21000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.8485, 0.4953]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 22000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.0894, 1.8577]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 23000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.3025, 0.6048]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 24000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.4296, 0.2724]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 25000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -1.9727, 0.8569]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 26000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -1.1306, 1.5412]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 27000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.6883, 1.0670]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 28000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.6859, -0.1503]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 29000.00, Rho = -1.230
(iter 5) [0.0, 0.0313, 0.1057] = 454.2648, sampling [0.0, -0.0376, -0.4984]. Recommendation = [0.0, 0.0122, -0.0036], Current Cost = 30000.00, Rho = -1.230
