(iter 5) [0.0, -0.3662, 0.1898] = 454.1239, sampling [0.0, 0.2566, 0.0495]. Recommendation = [0.0, -0.3662, 0.1898], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.0450, 0.5173]. Recommendation = [0.0, 0.2566, 0.0495], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.8648, 0.2737]. Recommendation = [0.0, 0.2566, 0.0495], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.5769, -0.4283]. Recommendation = [0.0, 0.2566, 0.0495], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 1.1481, 1.0047]. Recommendation = [0.0, 0.2566, 0.0495], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.9265, 1.5479]. Recommendation = [0.0, 0.2566, 0.0495], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 1.6707, 1.0965]. Recommendation = [0.0, 0.2566, 0.0495], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.4431, 0.4720]. Recommendation = [0.0, 0.2566, 0.0495], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.0136, -0.2136]. Recommendation = [0.0, 0.2566, 0.0495], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.0371, 1.3212]. Recommendation = [0.0, 0.0650, 0.0264], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.0118, 0.1870]. Recommendation = [0.0, 0.0650, 0.0264], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, 0.2566, 0.0495] = 455.7206, sampling [0.0, 0.7969, 0.6290]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.8063, 1.1532]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.6229, -0.0099]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 1.2821, -0.2471]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 19000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.1528, -0.4367]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 20000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.5236, 0.2320]. Recommendation = [0.0, 0.1980, -0.0337], Current Cost = 21000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 1.0899, 1.9832]. Recommendation = [0.0, 0.1980, -0.0337], Current Cost = 22000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.3433, -0.1206]. Recommendation = [0.0, 0.1980, -0.0337], Current Cost = 23000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.4137, 0.6471]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 24000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.1399, 0.3591]. Recommendation = [0.0, 0.1980, -0.0337], Current Cost = 25000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.4902, 1.8397]. Recommendation = [0.0, 0.1980, -0.0337], Current Cost = 26000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 1.0053, 0.7221]. Recommendation = [0.0, 0.1980, -0.0337], Current Cost = 27000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.1424, -0.0403]. Recommendation = [0.0, 0.1980, -0.0337], Current Cost = 28000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 1.2406, 1.5809]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 29000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 1.1070, 1.3060]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 30000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.0801, 0.8226]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 31000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.2403, 0.3656]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 32000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.4119, -0.9172]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 33000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.7014, 0.8173]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 34000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 1.4032, 1.7805]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 35000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.9523, 1.0408]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 36000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.0985, -0.0170]. Recommendation = [0.0, 0.0985, -0.0170], Current Cost = 37000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.7730, 0.4242]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 38000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.1674, -0.4972]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 39000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.4048, 0.4206]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 40000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.8645, 0.9422]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 41000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.5422, 1.0834]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 42000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.7800, 0.6102]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 43000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.1253, 1.4056]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 44000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.8010, 1.6791]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 45000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.1709, 1.0691]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 46000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.6699, 1.5378]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 47000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.2034, 0.6874]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 48000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.6406, 0.2369]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 49000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.4440, -0.0774]. Recommendation = [0.0, -0.0871, 0.0166], Current Cost = 50000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.7551, 1.3386]. Recommendation = [0.0, -0.1780, 0.0904], Current Cost = 51000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.5698, 0.4723]. Recommendation = [0.0, -0.1780, 0.0904], Current Cost = 52000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.2756, -0.2438]. Recommendation = [0.0, -0.1780, 0.0904], Current Cost = 53000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.6924, 0.8616]. Recommendation = [0.0, -0.2915, -0.0617], Current Cost = 54000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.1854, 1.9846]. Recommendation = [0.0, -0.2915, -0.0617], Current Cost = 55000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.3038, 1.7584]. Recommendation = [0.0, -0.2915, -0.0617], Current Cost = 56000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.3353, 1.2628]. Recommendation = [0.0, -0.2915, -0.0617], Current Cost = 57000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.0987, 1.7157]. Recommendation = [0.0, -0.2915, -0.0617], Current Cost = 58000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.1949, -0.6890]. Recommendation = [0.0, -0.2915, -0.0617], Current Cost = 59000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -0.9668, 0.5311]. Recommendation = [0.0, -0.2915, -0.0617], Current Cost = 60000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, -1.0468, 0.7955]. Recommendation = [0.0, 0.7969, 0.6290], Current Cost = 61000.00, Rho = -1.230
(iter 16) [0.0, 0.7969, 0.6290] = 456.2551, sampling [0.0, 0.3960, 0.1293]. Recommendation = [0.0, 0.7969, 0.6290], Current Cost = 62000.00, Rho = -1.230
