(iter 5) [0.0, -0.4674, -0.0320] = 447.8781, sampling [0.0, 0.1711, 0.2069]. Recommendation = [0.0, -0.4674, -0.0320], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.1711, 0.2069] = 452.4591, sampling [0.0, -0.1480, 0.2424]. Recommendation = [0.0, 0.1711, 0.2069], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.1711, 0.2069] = 452.4591, sampling [0.0, 0.3404, 0.7176]. Recommendation = [0.0, 0.1711, 0.2069], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.1711, 0.2069] = 452.4591, sampling [0.0, 0.0374, -0.1065]. Recommendation = [0.0, 0.1711, 0.2069], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.0374, -0.1065] = 454.2088, sampling [0.0, 0.4990, -0.0353]. Recommendation = [0.0, -0.0394, 0.0324], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.0374, -0.1065] = 454.2088, sampling [0.0, 0.6068, 0.2936]. Recommendation = [0.0, 0.0307, 0.0387], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.6068, 0.2936] = 455.5880, sampling [0.0, 0.3797, 0.3166]. Recommendation = [0.0, 0.0307, 0.0387], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, 0.6068, 0.2936] = 455.5880, sampling [0.0, -0.1703, 0.6603]. Recommendation = [0.0, 0.0307, 0.0387], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, 0.6068, 0.2936] = 455.5880, sampling [0.0, 0.3311, -0.2504]. Recommendation = [0.0, 0.0307, 0.0387], Current Cost = 13000.00, Rho = -1.230
(iter 10) [0.0, 0.6068, 0.2936] = 455.5880, sampling [0.0, 0.2971, 0.0621]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 14000.00, Rho = -1.230
(iter 14) [0.0, 0.2971, 0.0621] = 455.7374, sampling [0.0, -0.0805, 0.0509]. Recommendation = [0.0, 0.0307, 0.0387], Current Cost = 15000.00, Rho = -1.230
(iter 14) [0.0, 0.2971, 0.0621] = 455.7374, sampling [0.0, 0.1030, 0.4869]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 16000.00, Rho = -1.230
(iter 14) [0.0, 0.2971, 0.0621] = 455.7374, sampling [0.0, 0.7018, 0.9162]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 17000.00, Rho = -1.230
(iter 14) [0.0, 0.2971, 0.0621] = 455.7374, sampling [0.0, 0.3740, 1.1785]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 18000.00, Rho = -1.230
(iter 14) [0.0, 0.2971, 0.0621] = 455.7374, sampling [0.0, 0.7554, 0.6035]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 19000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, 0.5146, 0.4784]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 20000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, -0.3482, 0.1248]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 21000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, 0.7741, -0.0277]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 22000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, -0.2331, -0.1399]. Recommendation = [0.0, 0.0945, -0.0042], Current Cost = 23000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, 0.8773, 0.3795]. Recommendation = [0.0, -0.3005, 0.0296], Current Cost = 24000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, 0.0945, -0.0042]. Recommendation = [0.0, -0.3005, 0.0296], Current Cost = 25000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, -0.3005, 0.0296]. Recommendation = [0.0, -0.3005, 0.0296], Current Cost = 26000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, -0.5306, 0.3268]. Recommendation = [0.0, 0.7554, 0.6035], Current Cost = 27000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, -0.2562, 0.3662]. Recommendation = [0.0, 0.7554, 0.6035], Current Cost = 28000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, 0.1649, -0.2765]. Recommendation = [0.0, 0.7554, 0.6035], Current Cost = 29000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, 0.6249, -0.4229]. Recommendation = [0.0, 0.7554, 0.6035], Current Cost = 30000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, -0.0064, 0.3142]. Recommendation = [0.0, 0.7554, 0.6035], Current Cost = 31000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, -0.4544, 0.2189]. Recommendation = [0.0, 0.7554, 0.6035], Current Cost = 32000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, -0.4567, 0.5077]. Recommendation = [0.0, 0.7554, 0.6035], Current Cost = 33000.00, Rho = -1.230
(iter 19) [0.0, 0.7554, 0.6035] = 456.1322, sampling [0.0, 0.9003, 0.8420]. Recommendation = [0.0, 0.7554, 0.6035], Current Cost = 34000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, 0.7578, 0.4986]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 35000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, 0.3518, 0.4509]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 36000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, 0.8189, 1.0804]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 37000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.1270, -0.0977]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 38000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.2062, 0.1174]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 39000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, 0.5399, 0.8149]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 40000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.6269, 0.7327]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 41000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.7677, 0.4340]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 42000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.6024, 0.4944]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 43000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.3837, 1.1027]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 44000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.6679, 0.0939]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 45000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.8043, 0.6355]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 46000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.9254, 0.8904]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 47000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.0772, 0.6246]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 48000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.8207, 0.2761]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 49000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.0112, 1.1261]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 50000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.2635, 0.9359]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 51000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.6828, 0.9849]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 52000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.9217, 1.4476]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 53000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.8330, 1.1674]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 54000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.1814, 1.2331]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 55000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.3470, 1.5237]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 56000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.4182, 1.3088]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 57000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.1120, 1.8980]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 58000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.1320, 1.5719]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 59000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -0.5177, 1.7748]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 60000.00, Rho = -1.230
(iter 34) [0.0, 0.9003, 0.8420] = 456.1908, sampling [0.0, -1.0680, 1.3742]. Recommendation = [0.0, 0.9003, 0.8420], Current Cost = 61000.00, Rho = -1.230
