(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.3980, 0.4975]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.1855, 0.7158]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.6278, -0.0653]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.8352, 1.0320]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.2529, 0.0566]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.1104, 0.4031]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.1931, 1.3357]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.0665, 0.2210]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.5946, 0.5179]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.3151, 1.1834]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.6573, 0.3014]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.3260, -0.1311]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.7688, 0.8237]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.1260, 0.3873]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.3800, 0.2110]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.7536, 0.6636]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.0004, -0.0582]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.0125, 1.5491]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.2774, 0.8298]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.5364, -0.3126]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.4322, 0.2270]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.1901, 0.4762]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.4383, 1.0443]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.1188, -0.1726]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.2240, 0.7932]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.1333, -0.1796]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.8544, 0.6494]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.1367, 0.0297]. Recommendation = [0.0, 0.2148, -0.0081], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.4593, 0.7109]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.8243, 1.1099]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.5865, 0.1263]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.2595, 0.1907]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.3074, -0.4144]. Recommendation = [0.0, 0.1454, -0.3032], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.5545, 0.6898]. Recommendation = [0.0, 0.2032, -0.2842], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.0937, 0.6365]. Recommendation = [0.0, 0.2032, -0.2842], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.0560, 1.9838]. Recommendation = [0.0, 0.2032, -0.2842], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.0628, 1.1562]. Recommendation = [0.0, 0.2032, -0.2842], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 0.6684, 1.2469]. Recommendation = [0.0, 0.2032, -0.2842], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.9049, 1.1317]. Recommendation = [0.0, 0.2032, -0.2842], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, 1.2801, 1.5011]. Recommendation = [0.0, 0.2032, -0.2842], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.1454, -0.3032] = 445.0483, sampling [1.0, -0.8471, 0.4451]. Recommendation = [0.0, 0.2032, -0.2842], Current Cost = 5045.00, Rho = 1.000
