(iter 5) [0.0, 0.6173, -0.6672] = 346.2738, sampling [0.0, 0.4748, -1.0482]. Recommendation = [0.0, 0.6173, -0.6672], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.6173, -0.6672] = 346.2738, sampling [0.0, 0.2880, -0.6292]. Recommendation = [0.0, 0.6173, -0.6672], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.2880, -0.6292] = 405.0764, sampling [0.0, 0.3714, -0.3668]. Recommendation = [0.0, 0.2880, -0.6292], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.3714, -0.3668] = 430.4238, sampling [0.0, 0.2149, -0.4150]. Recommendation = [0.0, 0.3714, -0.3668], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.2149, -0.4150] = 434.4122, sampling [0.0, 0.4224, -0.1530]. Recommendation = [0.0, 0.2149, -0.4150], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.4224, -0.1530] = 444.9868, sampling [0.0, 0.1519, -0.1852]. Recommendation = [0.0, 0.4224, -0.1530], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.1519, -0.1852] = 451.2415, sampling [0.0, 0.3105, 0.0321]. Recommendation = [0.0, 0.1519, -0.1852], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 0.3105, 0.0321] = 455.4103, sampling [0.0, 0.2099, -0.0223]. Recommendation = [0.0, 0.3105, 0.0321], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 0.3105, 0.0321] = 455.4103, sampling [0.0, 0.5383, 0.0715]. Recommendation = [0.0, 0.3105, 0.0321], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, 0.3105, 0.0321] = 455.4103, sampling [0.0, 0.3526, 0.3677]. Recommendation = [0.0, 0.3105, 0.0321], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, 0.3105, 0.0321] = 455.4103, sampling [0.0, 0.2495, 0.1468]. Recommendation = [0.0, 0.3105, 0.0321], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, 0.3105, 0.0321] = 455.4103, sampling [0.0, 0.4590, 0.2613]. Recommendation = [0.0, 0.2907, 0.1290], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, 0.4590, 0.2613] = 455.7513, sampling [0.0, 0.0532, 0.1650]. Recommendation = [0.0, 0.2907, 0.1290], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, 0.4590, 0.2613] = 455.7513, sampling [0.0, 0.0723, 0.4083]. Recommendation = [0.0, 0.2907, 0.1290], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, 0.4590, 0.2613] = 455.7513, sampling [0.0, 0.1328, 0.0806]. Recommendation = [0.0, 0.2907, 0.1290], Current Cost = 19000.00, Rho = -1.230
(iter 16) [0.0, 0.4590, 0.2613] = 455.7513, sampling [0.0, 0.2766, 0.6763]. Recommendation = [0.0, 0.2907, 0.1290], Current Cost = 20000.00, Rho = -1.230
(iter 16) [0.0, 0.4590, 0.2613] = 455.7513, sampling [0.0, 0.6209, -0.1897]. Recommendation = [0.0, 0.2907, 0.1290], Current Cost = 21000.00, Rho = -1.230
(iter 16) [0.0, 0.4590, 0.2613] = 455.7513, sampling [0.0, 0.5895, 0.3430]. Recommendation = [0.0, 0.2907, 0.1290], Current Cost = 22000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.5623, 0.5593]. Recommendation = [0.0, 0.2176, 0.1173], Current Cost = 23000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.3418, 0.4911]. Recommendation = [0.0, 0.4662, 0.3105], Current Cost = 24000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.7423, 0.2041]. Recommendation = [0.0, 0.4662, 0.3105], Current Cost = 25000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.0266, -0.1149]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 26000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.6579, 0.0841]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 27000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.7230, 0.4591]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 28000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.7141, 0.3495]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 29000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.0476, -0.3027]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 30000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, -0.0855, 0.0493]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 31000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.5184, -0.0668]. Recommendation = [0.0, 0.1377, -0.0115], Current Cost = 32000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, -0.1244, 0.2140]. Recommendation = [0.0, 0.1377, -0.0115], Current Cost = 33000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, -0.0174, 0.2269]. Recommendation = [0.0, 0.1377, -0.0115], Current Cost = 34000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, -0.1430, -0.2651]. Recommendation = [0.0, 0.1377, -0.0115], Current Cost = 35000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, -0.2135, -0.0454]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 36000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, -0.0748, -0.5995]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 37000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, -0.0939, 0.5185]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 38000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.4838, 0.2024]. Recommendation = [0.0, 0.4838, 0.2024], Current Cost = 39000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.8645, -0.0246]. Recommendation = [0.0, 0.5895, 0.3430], Current Cost = 40000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, -0.0604, 0.3316]. Recommendation = [0.0, 0.5895, 0.3430], Current Cost = 41000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.6052, 0.7797]. Recommendation = [0.0, 0.5895, 0.3430], Current Cost = 42000.00, Rho = -1.230
(iter 22) [0.0, 0.5895, 0.3430] = 456.1295, sampling [0.0, 0.7510, 0.5962]. Recommendation = [0.0, 0.5895, 0.3430], Current Cost = 43000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, 0.5802, 0.6399]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 44000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, 0.8862, 0.4148]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 45000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, 0.4349, 0.8816]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 46000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, 0.1377, -0.0115]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 47000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, -0.0004, -0.2407]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 48000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, 0.1063, -0.5522]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 49000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, 0.0793, 0.7919]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 50000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, -0.3209, 0.1364]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 51000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, -0.2175, 0.2953]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 52000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, -0.1232, 0.1408]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 53000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, -0.3714, -0.1365]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 54000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, -0.2580, -0.4709]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 55000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, -0.2212, -0.2573]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 56000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, 0.8566, 0.2407]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 57000.00, Rho = -1.230
(iter 43) [0.0, 0.7510, 0.5962] = 456.1348, sampling [0.0, 0.8310, 0.7149]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 58000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, 0.9316, 0.5236]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 59000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, -0.3550, 0.3854]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 60000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, -0.3134, 0.2225]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 61000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, -0.2929, 0.4843]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 62000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, -0.2655, 0.3633]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 63000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, -0.4505, -0.0045]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 64000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, -0.3939, 0.1039]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 65000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, 0.4662, 0.3105]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 66000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, 0.1770, -0.2383]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 67000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, 0.4968, -0.2985]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 68000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, -0.4854, 0.1887]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 69000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, -0.2499, 0.7426]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 70000.00, Rho = -1.230
(iter 58) [0.0, 0.8310, 0.7149] = 456.2123, sampling [0.0, 0.7165, 0.5077]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 71000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.1226, -0.3593]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 72000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.6601, 0.9557]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 73000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.6808, 0.8153]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 74000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.4551, 0.4330]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 75000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.4314, 0.6061]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 76000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.2907, 0.1290]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 77000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.9921, 0.6839]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 78000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.9466, 0.8096]. Recommendation = [0.0, 0.7165, 0.5077], Current Cost = 79000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.9187, 0.7503]. Recommendation = [0.0, 0.9187, 0.7503], Current Cost = 80000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 1.0826, 0.3735]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 81000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.8995, 0.9963]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 82000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.6717, 1.1883]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 83000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.0820, -0.1827]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 84000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.4033, -0.2220]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 85000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.2069, 0.6143]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 86000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.6880, -0.0756]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 87000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.5329, 0.0789]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 88000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 1.0239, 0.9606]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 89000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.9268, 1.1259]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 90000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 1.0598, 0.7530]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 91000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.3060, 0.3823]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 92000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.0030, -0.8372]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 93000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.8890, -0.3237]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 94000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.5596, 0.2162]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 95000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.6011, 0.4384]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 96000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.4829, -0.4298]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 97000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.5454, -0.1975]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 98000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, 0.2176, 0.1173]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 99000.00, Rho = -1.230
(iter 71) [0.0, 0.7165, 0.5077] = 456.2164, sampling [0.0, -0.5435, 0.7662]. Recommendation = [0.0, 0.8632, 0.7269], Current Cost = 100000.00, Rho = -1.230
