(iter 5) [0.0, 0.4013, -0.0407] = 451.8727, sampling [0.0, 0.7678, 0.7696]. Recommendation = [0.0, 0.4013, -0.0407], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.7678, 0.7696] = 453.0030, sampling [0.0, 0.3903, 1.6002]. Recommendation = [0.0, 0.7678, 0.7696], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.7678, 0.7696] = 453.0030, sampling [0.0, 1.5104, 0.2678]. Recommendation = [0.0, 0.7678, 0.7696], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.7678, 0.7696] = 453.0030, sampling [0.0, -0.2728, 0.0150]. Recommendation = [0.0, 0.7678, 0.7696], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.2728, 0.0150] = 454.3260, sampling [0.0, 0.3442, 0.4109]. Recommendation = [0.0, -0.2728, 0.0150], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, -0.2728, 0.0150] = 454.3260, sampling [0.0, -0.9261, 1.2105]. Recommendation = [0.0, 0.2017, 0.1738], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, -0.2728, 0.0150] = 454.3260, sampling [0.0, -0.7300, 0.5711]. Recommendation = [0.0, 0.2017, 0.1738], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, -0.2728, 0.0150] = 454.3260, sampling [0.0, -0.7246, 1.9715]. Recommendation = [0.0, -0.1846, 0.0988], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, -0.2728, 0.0150] = 454.3260, sampling [0.0, 1.8876, 1.8868]. Recommendation = [0.0, -0.1846, 0.0988], Current Cost = 13000.00, Rho = -1.230
(iter 8) [0.0, -0.2728, 0.0150] = 454.3260, sampling [0.0, -1.7849, 1.3959]. Recommendation = [0.0, -0.1846, 0.0988], Current Cost = 14000.00, Rho = -1.230
(iter 8) [0.0, -0.2728, 0.0150] = 454.3260, sampling [0.0, -0.3284, 1.2022]. Recommendation = [0.0, -0.1846, 0.0988], Current Cost = 15000.00, Rho = -1.230
(iter 8) [0.0, -0.2728, 0.0150] = 454.3260, sampling [0.0, 0.0665, -0.4513]. Recommendation = [0.0, -0.1846, 0.0988], Current Cost = 16000.00, Rho = -1.230
