(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.3220, 0.1198]. Recommendation = [0.0, -0.2925, -0.1060], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.5589, 0.1605]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.5017, 0.3418]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.2690, 0.2797]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.5226, 0.2695]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.4548, -0.1085]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.4132, 0.5290]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.6917, 0.3611]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.7301, 0.2063]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.6169, 0.3087]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.2088, 0.1705]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.1832, 0.0067]. Recommendation = [0.0, -0.3220, 0.1198], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.6432, 0.4244]. Recommendation = [0.0, -0.1832, 0.0067], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.4787, 0.3977]. Recommendation = [0.0, -0.1832, 0.0067], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.1481, 0.3450]. Recommendation = [0.0, -0.1832, 0.0067], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.1436, 0.1457]. Recommendation = [0.0, -0.1832, 0.0067], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.2925, -0.1060] = 450.9618, sampling [1.0, -0.6330, 0.1157]. Recommendation = [0.0, -0.1832, 0.0067], Current Cost = 5021.00, Rho = 1.000
