(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -0.4118, 0.4080]. Recommendation = [0.0, 0.0720, 0.0628], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -0.9829, 0.5857]. Recommendation = [0.0, 0.0720, 0.0628], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -0.1335, 0.7169]. Recommendation = [0.0, 0.0720, 0.0628], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -0.4520, -0.0240]. Recommendation = [0.0, 0.0720, 0.0628], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -0.6848, 0.7040]. Recommendation = [0.0, -0.3890, 0.1012], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -1.2257, 0.9217]. Recommendation = [0.0, -0.3890, 0.1012], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -0.8171, 0.2257]. Recommendation = [0.0, -0.3890, 0.1012], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -0.1689, 0.3018]. Recommendation = [0.0, -0.4647, 0.1834], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, -0.0772, -0.3150]. Recommendation = [0.0, -0.3890, 0.1012], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, 0.4491, -0.0260]. Recommendation = [0.0, -0.1610, 0.0290], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0720, 0.0628] = 455.1064, sampling [1.0, 0.3114, 0.3684]. Recommendation = [0.0, -0.0965, -0.0326], Current Cost = 5015.00, Rho = 1.000
