(iter 5) [0.0, -0.3102, 0.3901] = 445.9452, sampling [0.0, 0.1622, 0.3619]. Recommendation = [0.0, -0.3102, 0.3901], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.3102, 0.3901] = 445.9452, sampling [0.0, 0.0727, -0.0130]. Recommendation = [0.0, -0.3102, 0.3901], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.0727, -0.0130] = 455.4065, sampling [0.0, 0.2195, 0.8061]. Recommendation = [0.0, 0.0983, 0.1086], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.0727, -0.0130] = 455.4065, sampling [0.0, 0.4289, 0.2483]. Recommendation = [0.0, 0.0983, 0.1086], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.4289, 0.2483] = 455.5595, sampling [0.0, -0.3909, 0.0474]. Recommendation = [0.0, 0.1733, 0.1687], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.4289, 0.2483] = 455.5595, sampling [0.0, -0.0966, 0.2382]. Recommendation = [0.0, 0.0983, 0.1086], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, 0.4289, 0.2483] = 455.5595, sampling [0.0, -0.3958, 0.7844]. Recommendation = [0.0, 0.0983, 0.1086], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, 0.4289, 0.2483] = 455.5595, sampling [0.0, -0.8396, 0.2749]. Recommendation = [0.0, 0.0983, 0.1086], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, 0.4289, 0.2483] = 455.5595, sampling [0.0, -0.5513, 0.2831]. Recommendation = [0.0, 0.0983, 0.1086], Current Cost = 13000.00, Rho = -1.230
(iter 8) [0.0, 0.4289, 0.2483] = 455.5595, sampling [0.0, 0.3233, 0.0574]. Recommendation = [0.0, 0.0983, 0.1086], Current Cost = 14000.00, Rho = -1.230
(iter 14) [0.0, 0.3233, 0.0574] = 455.6201, sampling [0.0, -0.0783, 0.5661]. Recommendation = [0.0, 0.1733, 0.1687], Current Cost = 15000.00, Rho = -1.230
(iter 14) [0.0, 0.3233, 0.0574] = 455.6201, sampling [0.0, 0.7067, 0.5538]. Recommendation = [0.0, 0.1733, 0.1687], Current Cost = 16000.00, Rho = -1.230
