(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.0854, -0.1074]. Recommendation = [0.0, -0.0934, 0.5960], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.6378, 0.9023]. Recommendation = [0.0, -0.0854, -0.1074], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.4805, 0.2800]. Recommendation = [0.0, -0.0854, -0.1074], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.2523, 0.1548]. Recommendation = [0.0, -0.0854, -0.1074], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.2207, 1.1457]. Recommendation = [0.0, -0.0535, 0.1380], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.2075, -0.3158]. Recommendation = [0.0, -0.0535, 0.1380], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.1243, 0.1959]. Recommendation = [0.0, 0.0606, 0.1334], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.4189, -0.3192]. Recommendation = [0.0, 0.1173, 0.1246], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.4758, 0.6071]. Recommendation = [0.0, 0.1173, 0.1246], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.1142, -0.4728]. Recommendation = [0.0, 0.1173, 0.1246], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -1.0596, 1.0749]. Recommendation = [0.0, 0.1173, 0.1246], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.9084, 0.5443]. Recommendation = [0.0, 0.1173, 0.1246], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.5725, 0.0011]. Recommendation = [0.0, 0.1173, 0.1246], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.6771, 1.1675]. Recommendation = [0.0, -0.3102, 0.1085], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.4141, 0.5600]. Recommendation = [0.0, -0.3102, 0.1085], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.1456, 0.3421]. Recommendation = [0.0, 0.1173, 0.1246], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.5992, -0.0131]. Recommendation = [0.0, -0.3102, 0.1085], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.1865, -0.0569]. Recommendation = [0.0, 0.1865, -0.0569], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.5399, 0.2625]. Recommendation = [0.0, -0.3102, 0.1085], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.4306, 1.0532]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.7520, 0.5922]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.6620, 0.3954]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.2181, 0.8044]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.8515, 0.7906]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.3219, -0.0914]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -1.4274, 1.3459]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -1.3412, 0.7327]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -1.1073, 1.3883]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, -0.0013, 1.7796]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.0934, 0.5960] = 420.6107, sampling [1.0, 0.4970, -0.3256]. Recommendation = [0.0, 0.3592, 0.1694], Current Cost = 5034.00, Rho = 1.000
