(iter 5) [0.0, 0.2601, -0.2276] = 447.0364, sampling [0.0, 0.1351, -0.3479]. Recommendation = [0.0, 0.2601, -0.2276], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.2601, -0.2276] = 447.0364, sampling [0.0, 0.0084, -0.1577]. Recommendation = [0.0, 0.2601, -0.2276], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.0084, -0.1577] = 452.8264, sampling [0.0, -0.0774, -0.2213]. Recommendation = [0.0, 0.0084, -0.1577], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.0084, -0.1577] = 452.8264, sampling [0.0, 0.1496, -0.0470]. Recommendation = [0.0, 0.0084, -0.1577], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.1496, -0.0470] = 455.0958, sampling [0.0, 0.0215, -0.0506]. Recommendation = [0.0, 0.1496, -0.0470], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.1496, -0.0470] = 455.0958, sampling [0.0, -0.2041, -0.3735]. Recommendation = [0.0, 0.1496, -0.0470], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, 0.1496, -0.0470] = 455.0958, sampling [0.0, -0.1463, -0.0770]. Recommendation = [0.0, 0.1496, -0.0470], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, 0.1496, -0.0470] = 455.0958, sampling [0.0, -0.2291, -0.1837]. Recommendation = [0.0, 0.1496, -0.0470], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, 0.1496, -0.0470] = 455.0958, sampling [0.0, -0.0831, 0.0144]. Recommendation = [0.0, -0.1232, -0.1037], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, -0.0831, 0.0144] = 455.1211, sampling [0.0, 0.0742, 0.0252]. Recommendation = [0.0, -0.0931, -0.0434], Current Cost = 14000.00, Rho = -1.230
(iter 14) [0.0, 0.0742, 0.0252] = 455.4042, sampling [0.0, -0.0931, -0.0434]. Recommendation = [0.0, 0.0783, -0.0385], Current Cost = 15000.00, Rho = -1.230
