(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, 0.1142, -0.0516]. Recommendation = [0.0, 0.3104, 0.1157], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.0882, 0.2337]. Recommendation = [0.0, 0.3104, 0.1157], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.6542, 0.7724]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.4544, 0.3769]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.2678, 0.6968]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -1.0562, 0.9110]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.9275, 1.2492]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.8586, 0.4791]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.3542, 0.0348]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.0824, -0.0253]. Recommendation = [0.0, 0.3104, 0.1157], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.6636, 0.2390]. Recommendation = [0.0, -0.0700, 0.0703], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.6676, 0.4908]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.3639, 0.2036]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.8988, 0.7116]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.7917, 0.9907]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, 0.1366, 0.2305]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 20000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -1.1517, 1.0950]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 21000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, 0.2712, -0.1599]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 22000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -1.2279, 0.6448]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 23000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, 0.0108, -0.3266]. Recommendation = [0.0, -0.0484, 0.0369], Current Cost = 24000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.2341, -0.1327]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 25000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.1436, 0.1117]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 26000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.5044, 0.5453]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 27000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.5310, -0.0315]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 28000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.5160, 0.2056]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 29000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, 0.0574, 0.1604]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 30000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, 0.0977, 0.4677]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 31000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.4698, 1.0973]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 32000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.8896, 0.8463]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 33000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.0531, -0.2237]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 34000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, 0.2274, -0.3525]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 35000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.6876, 0.6193]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 36000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.5976, 0.3496]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 37000.00, Rho = -1.230
(iter 5) [0.0, 0.3104, 0.1157] = 455.7867, sampling [0.0, -0.9923, 1.1406]. Recommendation = [0.0, 0.2282, 0.1230], Current Cost = 38000.00, Rho = -1.230
