(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -0.2505, 0.9462]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -0.8621, 1.1045]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, 0.4239, 0.7991]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -0.7037, 1.4802]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, 0.0433, 0.5654]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -0.6255, 0.6803]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -0.3748, 0.6179]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -1.1774, 1.0150]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -0.9596, 0.7216]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -0.7644, 0.8770]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, -1.1974, 1.4563] = 451.4208, sampling [0.0, -1.0877, 1.2541]. Recommendation = [0.0, -1.1974, 1.4563], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, -1.0877, 1.2541] = 451.4376, sampling [0.0, 0.7976, 1.0702]. Recommendation = [0.0, -1.0877, 1.2541], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, -1.0877, 1.2541] = 451.4376, sampling [0.0, 0.8264, 0.7782]. Recommendation = [0.0, -1.0877, 1.2541], Current Cost = 17000.00, Rho = -1.230
(iter 17) [0.0, 0.8264, 0.7782] = 455.3633, sampling [0.0, 0.4058, 1.1330]. Recommendation = [0.0, 0.8264, 0.7782], Current Cost = 18000.00, Rho = -1.230
(iter 17) [0.0, 0.8264, 0.7782] = 455.3633, sampling [0.0, -0.6918, 0.4064]. Recommendation = [0.0, 0.8264, 0.7782], Current Cost = 19000.00, Rho = -1.230
(iter 17) [0.0, 0.8264, 0.7782] = 455.3633, sampling [0.0, -0.4574, 0.4255]. Recommendation = [0.0, 0.8264, 0.7782], Current Cost = 20000.00, Rho = -1.230
(iter 17) [0.0, 0.8264, 0.7782] = 455.3633, sampling [0.0, 0.6211, 0.6023]. Recommendation = [0.0, 0.8264, 0.7782], Current Cost = 21000.00, Rho = -1.230
(iter 17) [0.0, 0.8264, 0.7782] = 455.3633, sampling [0.0, 0.6726, 0.8421]. Recommendation = [0.0, 0.8264, 0.7782], Current Cost = 22000.00, Rho = -1.230
(iter 17) [0.0, 0.8264, 0.7782] = 455.3633, sampling [0.0, -1.3696, 1.3004]. Recommendation = [0.0, 0.8264, 0.7782], Current Cost = 23000.00, Rho = -1.230
(iter 17) [0.0, 0.8264, 0.7782] = 455.3633, sampling [0.0, -0.8947, 0.5098]. Recommendation = [0.0, 0.8264, 0.7782], Current Cost = 24000.00, Rho = -1.230
(iter 17) [0.0, 0.8264, 0.7782] = 455.3633, sampling [0.0, 0.9773, 0.8914]. Recommendation = [0.0, -0.6877, 0.5185], Current Cost = 25000.00, Rho = -1.230
(iter 25) [0.0, 0.9773, 0.8914] = 455.8949, sampling [0.0, 0.4169, 0.4801]. Recommendation = [0.0, -0.6877, 0.5185], Current Cost = 26000.00, Rho = -1.230
(iter 25) [0.0, 0.9773, 0.8914] = 455.8949, sampling [0.0, -1.2271, 0.7443]. Recommendation = [0.0, -0.6877, 0.5185], Current Cost = 27000.00, Rho = -1.230
(iter 25) [0.0, 0.9773, 0.8914] = 455.8949, sampling [0.0, -0.1821, 0.4787]. Recommendation = [0.0, -0.6877, 0.5185], Current Cost = 28000.00, Rho = -1.230
(iter 25) [0.0, 0.9773, 0.8914] = 455.8949, sampling [0.0, -0.9404, 0.9806]. Recommendation = [0.0, -0.6877, 0.5185], Current Cost = 29000.00, Rho = -1.230
(iter 25) [0.0, 0.9773, 0.8914] = 455.8949, sampling [0.0, 0.7861, 0.6130]. Recommendation = [0.0, -0.6877, 0.5185], Current Cost = 30000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, -0.0041, 0.2794]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 31000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, 0.2446, 0.4148]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 32000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, -0.6877, 0.5185]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 33000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, 1.1059, 1.1608]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 34000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, 1.2910, 0.9394]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 35000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, 1.0031, 1.4381]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 36000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, 0.7839, 1.2876]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 37000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, 1.3357, 1.3343]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 38000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, 0.8037, 1.8018]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 39000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, -0.5528, 0.1410]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 40000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, -0.2820, 0.0922]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 41000.00, Rho = -1.230
(iter 30) [0.0, 0.7861, 0.6130] = 456.2518, sampling [0.0, -0.8986, 0.2337]. Recommendation = [0.0, 0.7639, 0.6731], Current Cost = 42000.00, Rho = -1.230
