(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, 0.1239, 0.9511]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, -0.1529, 0.6511]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, 0.0759, 0.4611]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, -0.1179, 0.4508]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, 0.5374, 0.6844]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, 0.2697, 0.5750]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, 0.5778, 0.8877]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, 0.3688, 0.7520]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, -0.3198, 0.4217] = 444.3570, sampling [0.0, 0.9165, 0.8442]. Recommendation = [0.0, -0.3198, 0.4217], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, 0.9165, 0.8442] = 456.2912, sampling [0.0, 0.7251, 0.6780]. Recommendation = [0.0, 0.9165, 0.8442], Current Cost = 14000.00, Rho = -1.230
(iter 13) [0.0, 0.9165, 0.8442] = 456.2912, sampling [0.0, 0.7850, 0.9079]. Recommendation = [0.0, 0.9165, 0.8442], Current Cost = 15000.00, Rho = -1.230
(iter 13) [0.0, 0.9165, 0.8442] = 456.2912, sampling [0.0, 1.0228, 1.0888]. Recommendation = [0.0, 0.9165, 0.8442], Current Cost = 16000.00, Rho = -1.230
(iter 13) [0.0, 0.9165, 0.8442] = 456.2912, sampling [0.0, 1.2056, 0.9300]. Recommendation = [0.0, 0.9165, 0.8442], Current Cost = 17000.00, Rho = -1.230
(iter 13) [0.0, 0.9165, 0.8442] = 456.2912, sampling [0.0, 0.9654, 0.9389]. Recommendation = [0.0, 0.9165, 0.8442], Current Cost = 18000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.9912, 0.6633]. Recommendation = [0.0, 0.9996, 1.0365], Current Cost = 19000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.6175, 0.4183]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 20000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.3942, 0.3359]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 21000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.5234, 0.4858]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 22000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.8259, 0.5953]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 23000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.2422, 1.3546]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 24000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.2215, 1.1569]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 25000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.0183, 1.3194]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 26000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.1806, 1.6741]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 27000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.5677, 1.5730]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 28000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.8564, 1.8424]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 29000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.8794, 0.7008]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 30000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.1075, 1.1893]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 31000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.2130, 0.2848]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 32000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.1113, 1.3632]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 33000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.9241, 1.1724]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 34000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.2328, 0.4129]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 35000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.5518, 1.1058]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 36000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.5617, 0.2626]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 37000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.4048, 0.1531]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 38000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.0673, 0.0998]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 39000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.1061, 0.2693]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 40000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.2990, 0.0818]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 41000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, -0.1480, 0.1518]. Recommendation = [0.0, 0.1444, 0.1705], Current Cost = 42000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.1444, 0.1705]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 43000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.8096, 0.3070]. Recommendation = [0.0, 0.9654, 0.9389], Current Cost = 44000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.6785, 0.3017]. Recommendation = [0.0, 0.5713, 0.2980], Current Cost = 45000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.0511, 0.7738]. Recommendation = [0.0, 0.5810, 0.3140], Current Cost = 46000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.9553, 1.4881]. Recommendation = [0.0, 0.5810, 0.3140], Current Cost = 47000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.3434, 1.5822]. Recommendation = [0.0, 0.5810, 0.3140], Current Cost = 48000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 1.2104, 1.6120]. Recommendation = [0.0, 0.5810, 0.3140], Current Cost = 49000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.7223, 0.6108]. Recommendation = [0.0, 0.5810, 0.3140], Current Cost = 50000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.4957, -0.0080]. Recommendation = [0.0, 0.5810, 0.3140], Current Cost = 51000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.1581, -0.0366]. Recommendation = [0.0, 0.3755, 0.1228], Current Cost = 52000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.3415, -0.0442]. Recommendation = [0.0, 0.5810, 0.3140], Current Cost = 53000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.6679, 0.1474]. Recommendation = [0.0, 0.3294, 0.0506], Current Cost = 54000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.4661, 0.0734]. Recommendation = [0.0, 0.3294, 0.0506], Current Cost = 55000.00, Rho = -1.230
(iter 18) [0.0, 0.9654, 0.9389] = 456.2940, sampling [0.0, 0.2465, -0.0132]. Recommendation = [0.0, 0.3294, 0.0506], Current Cost = 56000.00, Rho = -1.230
