(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.2207, -0.0028]. Recommendation = [0.0, -0.5516, 0.4070], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.4858, 0.1135]. Recommendation = [0.0, -0.2207, -0.0028], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.3584, 0.3009]. Recommendation = [0.0, -0.2207, -0.0028], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.0093, -0.2865]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.3649, -0.0907]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.0122, -0.0393]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.1978, -0.2647]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.2431, 0.2020]. Recommendation = [0.0, -0.1454, -0.0860], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.1454, -0.0860]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.6250, 0.2356]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.0795, 0.1279]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, 0.1706, -0.1317]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.3869, 0.1328]. Recommendation = [0.0, -0.3869, 0.1328], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, 0.1350, -0.3378]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.7957, 0.6289]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.7073, 0.4651]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.4913, 0.5709]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.8416, 0.3382]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -1.0086, 0.8678]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.7524, 0.8470]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.9841, 0.6737]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.6437, 0.6592]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.8260, 0.7345]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.5611, -0.1344]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, 0.1253, 0.0733]. Recommendation = [0.0, -0.2269, 0.0277], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.1120, 0.4120]. Recommendation = [0.0, 0.0351, 0.0048], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.3157, 0.4842]. Recommendation = [0.0, 0.0351, 0.0048], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, 0.0821, -0.0188]. Recommendation = [0.0, 0.0351, 0.0048], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.5516, 0.4070] = 452.8357, sampling [1.0, -0.8868, 0.9857]. Recommendation = [0.0, 0.0351, 0.0048], Current Cost = 5033.00, Rho = 1.000
