(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.3151, 0.8715]. Recommendation = [0.0, -0.7224, 0.7612], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, -0.2356, 0.6621]. Recommendation = [0.0, -0.7224, 0.7612], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 1.0115, 1.4286]. Recommendation = [0.0, -0.7224, 0.7612], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.2530, 0.0950]. Recommendation = [0.0, -0.7224, 0.7612], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.6857, 0.3859]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.9748, 0.8608]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.3982, 0.3484]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 1.3293, 1.0730]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.5847, 0.0224]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.7596, 0.6691]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.7929, 1.1378]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.9496, 0.5074]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.0815, 0.3115]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.3102, -0.1696]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.6017, 0.5311]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.0410, -0.0031]. Recommendation = [0.0, 0.2530, 0.0950], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 1.0892, 1.7319]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.5821, 0.1739]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.8309, 0.8078]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.2628, 0.2684]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 1.3500, 1.4557]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, -0.2949, 1.1349]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, -0.1927, 0.3244]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, -0.0574, 0.1412]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.0789, -0.2482]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.9422, 0.6806]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.7426, 0.2292]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.5049, 0.4230]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.7832, 0.5470]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.2049, 0.4699]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, -0.1499, -0.0170]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.7224, 0.7612] = 447.6004, sampling [1.0, 0.4523, -0.0443]. Recommendation = [0.0, 0.2026, 0.0301], Current Cost = 5036.00, Rho = 1.000
