(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.2075, 0.5402]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.0186, 0.2679]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, -0.1273, 0.7076]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.6034, 0.5338]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.4306, 0.9460]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.3162, 0.2908]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.1389, 0.0832]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.5481, 0.2357]. Recommendation = [0.0, 0.0275, 0.1020], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.4570, 0.3452]. Recommendation = [0.0, 0.0275, 0.1020], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.7166, 0.3612]. Recommendation = [0.0, 0.0275, 0.1020], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.7605, 0.6821]. Recommendation = [0.0, 0.0275, 0.1020], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.4774, 0.6331]. Recommendation = [0.0, 0.0275, 0.1020], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.0275, 0.1020]. Recommendation = [0.0, 0.0275, 0.1020], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, -0.1783, 0.3755]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.0979, 0.4066]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, 0.8544, 0.5738]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, -0.1166, 0.2302]. Recommendation = [0.0, -0.0558, -0.0134], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0558, -0.0134] = 455.1580, sampling [1.0, -0.0001, 1.1325]. Recommendation = [0.0, -0.0351, 0.0539], Current Cost = 5022.00, Rho = 1.000
