(iter 5) [0.0, -0.0522, -0.2038] = 450.9288, sampling [0.0, 0.0843, -0.1432]. Recommendation = [0.0, -0.0522, -0.2038], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.0843, -0.1432] = 453.2010, sampling [0.0, 0.0889, 0.0228]. Recommendation = [0.0, 0.0843, -0.1432], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, -0.1044, 0.1093]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, 0.0149, 0.0871]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, -0.2677, 0.0538]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 9000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, -0.1380, 0.2405]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 10000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, -0.3323, 0.1877]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 11000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, -0.2485, 0.2645]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 12000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, 0.0686, 0.2904]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 13000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, 0.2523, 0.0017]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 14000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, 0.2650, 0.1435]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 15000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, 0.2271, -0.0553]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 16000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, 0.2510, 0.3068]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 17000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, -0.2179, 0.4800]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 18000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, 0.0471, 0.4089]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 19000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, -0.2618, 0.3742]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 20000.00, Rho = -1.230
(iter 6) [0.0, 0.0889, 0.0228] = 455.4476, sampling [0.0, -0.3985, 0.0623]. Recommendation = [0.0, 0.0889, 0.0228], Current Cost = 21000.00, Rho = -1.230
