(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.1425, -0.2496]. Recommendation = [0.0, -0.6681, -0.0849], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.2614, -0.0270]. Recommendation = [0.0, -0.1425, -0.2496], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.3180, -0.2355]. Recommendation = [0.0, -0.2614, -0.0270], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, 0.0454, -0.1494]. Recommendation = [0.0, -0.2614, -0.0270], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.0630, 0.0343]. Recommendation = [0.0, -0.2052, -0.0929], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.2052, -0.0929]. Recommendation = [0.0, -0.1837, -0.0460], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, 0.1451, -0.3476]. Recommendation = [0.0, -0.1837, -0.0460], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.1728, 0.0000]. Recommendation = [0.0, -0.0630, 0.0343], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, 0.0596, -0.0233]. Recommendation = [0.0, -0.1837, -0.0460], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.2360, 0.1449]. Recommendation = [0.0, -0.1837, -0.0460], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.4447, 0.0833]. Recommendation = [0.0, -0.2142, 0.0565], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.2769, 0.0637]. Recommendation = [0.0, -0.2769, 0.0637], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, 0.1550, -0.2105]. Recommendation = [0.0, -0.2142, 0.0565], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.1065, 0.0991]. Recommendation = [0.0, -0.2142, 0.0565], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, 0.0070, -0.3135]. Recommendation = [0.0, -0.2142, 0.0565], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, 0.2318, -0.0615]. Recommendation = [0.0, -0.2142, 0.0565], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, 0.1162, 0.0739]. Recommendation = [0.0, -0.2142, 0.0565], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.0103, 0.1866]. Recommendation = [0.0, 0.0704, -0.0570], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.6681, -0.0849] = 425.2953, sampling [1.0, -0.3508, 0.2268]. Recommendation = [0.0, 0.0704, -0.0570], Current Cost = 5023.00, Rho = 1.000
