(iter 5) [0.0, -0.5920, -0.2599] = 416.5215, sampling [0.0, -0.1784, -0.1073]. Recommendation = [0.0, -0.5920, -0.2599], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.1784, -0.1073] = 452.9770, sampling [0.0, 0.1821, -0.0744]. Recommendation = [0.0, -0.1784, -0.1073], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.1821, -0.0744] = 454.4733, sampling [0.0, -0.2381, 0.2578]. Recommendation = [0.0, -0.0658, -0.1920], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.1821, -0.0744] = 454.4733, sampling [0.0, 0.1046, 0.3251]. Recommendation = [0.0, 0.0646, -0.0852], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, 0.1821, -0.0744] = 454.4733, sampling [0.0, -0.0264, -0.2881]. Recommendation = [0.0, -0.0811, 0.0083], Current Cost = 9000.00, Rho = -1.230
(iter 6) [0.0, 0.1821, -0.0744] = 454.4733, sampling [0.0, 0.0197, 0.0501]. Recommendation = [0.0, -0.0811, 0.0083], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.0197, 0.0501] = 455.0914, sampling [0.0, -0.2925, 0.7591]. Recommendation = [0.0, -0.0811, 0.0083], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, 0.0197, 0.0501] = 455.0914, sampling [0.0, -0.5070, 0.1477]. Recommendation = [0.0, -0.0811, 0.0083], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, 0.0197, 0.0501] = 455.0914, sampling [0.0, 0.1581, 0.7464]. Recommendation = [0.0, -0.1854, 0.1229], Current Cost = 13000.00, Rho = -1.230
(iter 10) [0.0, 0.0197, 0.0501] = 455.0914, sampling [0.0, 0.4439, -0.2751]. Recommendation = [0.0, -0.1854, 0.1229], Current Cost = 14000.00, Rho = -1.230
(iter 10) [0.0, 0.0197, 0.0501] = 455.0914, sampling [0.0, 0.4116, 0.2362]. Recommendation = [0.0, -0.1854, 0.1229], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, 0.4116, 0.2362] = 455.5067, sampling [0.0, -0.4462, 0.4651]. Recommendation = [0.0, -0.1854, 0.1229], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, 0.4116, 0.2362] = 455.5067, sampling [0.0, 0.5504, -0.0145]. Recommendation = [0.0, -0.1854, 0.1229], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, 0.4116, 0.2362] = 455.5067, sampling [0.0, 0.3031, 0.0548]. Recommendation = [0.0, 0.3031, 0.0548], Current Cost = 18000.00, Rho = -1.230
(iter 18) [0.0, 0.3031, 0.0548] = 455.6765, sampling [0.0, -0.0419, 0.4460]. Recommendation = [0.0, 0.3706, 0.1510], Current Cost = 19000.00, Rho = -1.230
(iter 18) [0.0, 0.3031, 0.0548] = 455.6765, sampling [0.0, -0.4616, -0.0407]. Recommendation = [0.0, 0.3706, 0.1510], Current Cost = 20000.00, Rho = -1.230
(iter 18) [0.0, 0.3031, 0.0548] = 455.6765, sampling [0.0, 0.2442, -0.3980]. Recommendation = [0.0, 0.3706, 0.1510], Current Cost = 21000.00, Rho = -1.230
(iter 18) [0.0, 0.3031, 0.0548] = 455.6765, sampling [0.0, 0.6281, 0.5705]. Recommendation = [0.0, 0.3706, 0.1510], Current Cost = 22000.00, Rho = -1.230
(iter 18) [0.0, 0.3031, 0.0548] = 455.6765, sampling [0.0, 0.8247, 0.3097]. Recommendation = [0.0, -0.2758, 0.1684], Current Cost = 23000.00, Rho = -1.230
(iter 18) [0.0, 0.3031, 0.0548] = 455.6765, sampling [0.0, 0.6345, 0.3831]. Recommendation = [0.0, 0.6345, 0.3831], Current Cost = 24000.00, Rho = -1.230
(iter 24) [0.0, 0.6345, 0.3831] = 456.1282, sampling [0.0, 0.9314, -0.3604]. Recommendation = [0.0, -0.2758, 0.1684], Current Cost = 25000.00, Rho = -1.230
(iter 24) [0.0, 0.6345, 0.3831] = 456.1282, sampling [0.0, 0.3522, 0.3883]. Recommendation = [0.0, -0.2758, 0.1684], Current Cost = 26000.00, Rho = -1.230
(iter 24) [0.0, 0.6345, 0.3831] = 456.1282, sampling [0.0, 0.4908, 0.9839]. Recommendation = [0.0, -0.2758, 0.1684], Current Cost = 27000.00, Rho = -1.230
