(iter 5) [0.0, 0.6519, -0.0495] = 433.6671, sampling [0.0, -0.2865, 0.2512]. Recommendation = [0.0, 0.6519, -0.0495], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.2865, 0.2512] = 451.7841, sampling [0.0, 0.1303, 0.6853]. Recommendation = [0.0, -0.2865, 0.2512], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.2865, 0.2512] = 451.7841, sampling [0.0, -0.8716, -0.1546]. Recommendation = [0.0, -0.2865, 0.2512], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.2865, 0.2512] = 451.7841, sampling [0.0, 0.0677, -0.0746]. Recommendation = [0.0, -0.2865, 0.2512], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -0.6259, 0.7074]. Recommendation = [0.0, 0.0229, 0.0540], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, 0.2924, 0.2370]. Recommendation = [0.0, 0.0229, 0.0540], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -0.2944, -0.4607]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -1.0188, 0.4189]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -1.0252, -0.9700]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 13000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, 0.2127, 1.4437]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 14000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -0.2153, 0.6437]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 15000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -0.6339, 0.1658]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 16000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -1.3989, 1.8392]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 17000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -0.8408, 1.9772]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 18000.00, Rho = -1.230
(iter 8) [0.0, 0.0677, -0.0746] = 454.8032, sampling [0.0, -1.9017, 1.3462]. Recommendation = [0.0, 0.1030, 0.1454], Current Cost = 19000.00, Rho = -1.230
