(iter 5) [0.0, -0.3700, -0.0492] = 450.9593, sampling [0.0, 0.0747, 0.8300]. Recommendation = [0.0, -0.3700, -0.0492], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.3700, -0.0492] = 450.9593, sampling [0.0, 0.5528, 0.0177]. Recommendation = [0.0, -0.3700, -0.0492], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.3700, -0.0492] = 450.9593, sampling [0.0, 0.0570, 1.9273]. Recommendation = [0.0, -0.3700, -0.0492], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.3700, -0.0492] = 450.9593, sampling [0.0, 1.3479, -0.4743]. Recommendation = [0.0, -0.3700, -0.0492], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.3700, -0.0492] = 450.9593, sampling [0.0, 0.0374, 0.1097]. Recommendation = [0.0, -0.3700, -0.0492], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -0.7537, 0.9103]. Recommendation = [0.0, 0.0374, 0.1097], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -0.4335, 0.4597]. Recommendation = [0.0, -0.0522, 0.1622], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -1.9261, 1.9647]. Recommendation = [0.0, -0.1368, 0.2133], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 0.7021, 0.6906]. Recommendation = [0.0, -0.1368, 0.2133], Current Cost = 13000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -0.5618, 1.3903]. Recommendation = [0.0, -0.1596, 0.2373], Current Cost = 14000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 0.4548, 0.4082]. Recommendation = [0.0, -0.1596, 0.2373], Current Cost = 15000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -1.2548, 1.3221]. Recommendation = [0.0, -0.1596, 0.2373], Current Cost = 16000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 1.8483, 1.9987]. Recommendation = [0.0, -0.1368, 0.2133], Current Cost = 17000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 0.8404, 1.4175]. Recommendation = [0.0, -0.1368, 0.2133], Current Cost = 18000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 0.2262, -0.3957]. Recommendation = [0.0, -0.1368, 0.2133], Current Cost = 19000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -1.2811, 0.7947]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 20000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 0.4722, 1.1462]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 21000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 1.0301, 1.9725]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 22000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 1.6833, -1.9912]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 23000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -0.0141, 0.4323]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 24000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -0.8216, 0.4159]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 25000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -0.3581, 0.8644]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 26000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, -1.8076, 1.1427]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 27000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 1.0197, 0.3702]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 28000.00, Rho = -1.230
(iter 9) [0.0, 0.0374, 0.1097] = 454.2016, sampling [0.0, 1.0090, 0.9568]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 29000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 1.3805, 1.4849]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 30000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.9424, 1.2757]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 31000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.0025, -0.1750]. Recommendation = [0.0, 0.3466, 0.1518], Current Cost = 32000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.2880, -0.1267]. Recommendation = [0.0, 0.1806, 0.0374], Current Cost = 33000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.3505, 0.2073]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 34000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.9646, 0.7227]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 35000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.9797, 1.5701]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 36000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.7154, 0.2434]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 37000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.3739, 0.7063]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 38000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.1434, -0.5733]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 39000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.5111, -0.5694]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 40000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 1.3992, 1.8219]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 41000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 1.1439, 1.6060]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 42000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.2706, 0.2318]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 43000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.0302, 1.2353]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 44000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.7083, 0.1251]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 45000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 1.0384, 1.2016]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 46000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 1.9334, 1.3667]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 47000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -1.0514, 0.9829]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 48000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.0979, -0.8136]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 49000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -1.3800, 1.7910]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 50000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.6909, 0.5662]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 51000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.8216, 1.0832]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 52000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.5794, 1.7483]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 53000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.3067, -0.3420]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 54000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.6612, -0.1976]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 55000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -1.2143, 0.3346]. Recommendation = [0.0, -0.5509, 0.2914], Current Cost = 56000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.8837, 0.6962]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 57000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -1.2464, 1.5801]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 58000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, -0.7050, 1.9608]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 59000.00, Rho = -1.230
(iter 29) [0.0, 1.0090, 0.9568] = 455.9237, sampling [0.0, 0.6770, 0.4634]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 60000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 1.2795, 0.5509]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 61000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.6526, -0.1780]. Recommendation = [0.0, -0.1110, 0.0595], Current Cost = 62000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.2532, 0.6577]. Recommendation = [0.0, -0.5109, 0.2350], Current Cost = 63000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 1.1628, 1.3864]. Recommendation = [0.0, -0.5109, 0.2350], Current Cost = 64000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.1368, 0.2133]. Recommendation = [0.0, -0.5109, 0.2350], Current Cost = 65000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.5638, 0.8843]. Recommendation = [0.0, -0.5109, 0.2350], Current Cost = 66000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.5509, 0.2914]. Recommendation = [0.0, -0.5109, 0.2350], Current Cost = 67000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.8505, 0.0942]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 68000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.0864, -0.3342]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 69000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 1.2197, 1.1053]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 70000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.5446, 0.7657]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 71000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.7777, 1.1798]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 72000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 1.2846, 1.9474]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 73000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -1.2672, 1.9533]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 74000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.1355, -0.6266]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 75000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.4588, -0.2282]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 76000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.5252, 0.2189]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 77000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.4785, 1.0524]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 78000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 1.9938, 0.3139]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 79000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 1.0468, 0.8008]. Recommendation = [0.0, 0.7438, 0.5434], Current Cost = 80000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.9011, 0.5030]. Recommendation = [0.0, 0.7438, 0.5434], Current Cost = 81000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.9634, 1.6478]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 82000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.1806, 0.0374]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 83000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.1264, 0.6474]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 84000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.7733, 0.8732]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 85000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.4667, -0.5760]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 86000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.9612, -0.0853]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 87000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.8900, 0.2225]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 88000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 1.2475, 1.7704]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 89000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.3891, -0.7753]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 90000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.1945, 0.3998]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 91000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.1659, -1.0312]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 92000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.1110, 0.0595]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 93000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.1311, 0.3411]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 94000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -1.4676, 1.4376]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 95000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -1.2301, 1.0146]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 96000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -0.5352, -0.0447]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 97000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -1.0955, 0.5190]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 98000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, -1.0745, 1.2303]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 99000.00, Rho = -1.230
(iter 60) [0.0, 0.6770, 0.4634] = 456.1931, sampling [0.0, 0.3047, 0.9327]. Recommendation = [0.0, 0.6770, 0.4634], Current Cost = 100000.00, Rho = -1.230
