(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.2281, -0.0493]. Recommendation = [0.0, -0.4418, -0.2926], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.0147, -0.4110]. Recommendation = [0.0, 0.2281, -0.0493], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.4476, 0.4318]. Recommendation = [0.0, 0.2281, -0.0493], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.7133, -0.0648]. Recommendation = [0.0, 0.2281, -0.0493], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.1035, 0.2309]. Recommendation = [0.0, 0.2281, -0.0493], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.1780, -0.1205]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.7290, 0.3345]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.4313, 0.8123]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.2698, 0.2419]. Recommendation = [0.0, 0.0801, 0.1672], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.0757, 0.5460]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.4699, -0.4533]. Recommendation = [0.0, 0.0801, 0.1672], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.5175, 0.1491]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.8254, 0.6142]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.9217, 0.9545]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.3188, -0.2116]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.0673, -0.1630]. Recommendation = [0.0, 0.1280, -0.0333], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.7340, 0.7702]. Recommendation = [0.0, 0.0801, 0.1672], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.3803, 0.3171]. Recommendation = [0.0, 0.0801, 0.1672], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.5744, 1.2054]. Recommendation = [0.0, -0.0859, 0.0016], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.2232, 0.6885]. Recommendation = [0.0, -0.0859, 0.0016], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 1.0158, 0.2090]. Recommendation = [0.0, -0.0859, 0.0016], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.0801, 0.1672]. Recommendation = [0.0, -0.0859, 0.0016], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.5151, -0.0062]. Recommendation = [0.0, -0.0859, 0.0016], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.2361, -0.6037]. Recommendation = [0.0, -0.1804, 0.1218], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.1649, 0.4252]. Recommendation = [0.0, -0.1804, 0.1218], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, 0.4054, -0.0181]. Recommendation = [0.0, -0.1804, 0.1218], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.4418, -0.2926] = 430.4292, sampling [1.0, -0.1804, 0.1218]. Recommendation = [0.0, -0.1804, 0.1218], Current Cost = 5031.00, Rho = 1.000
