(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.1038, 0.0476]. Recommendation = [0.0, -0.7899, 1.2750], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.1152, -0.4075]. Recommendation = [0.0, 0.1038, 0.0476], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.1008, 0.7066]. Recommendation = [0.0, 0.1038, 0.0476], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.3663, 0.4032]. Recommendation = [0.0, 0.1038, 0.0476], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.2188, 0.2773]. Recommendation = [0.0, 0.1038, 0.0476], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.5267, 0.0835]. Recommendation = [0.0, 0.0668, 0.2292], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.2016, -0.1821]. Recommendation = [0.0, 0.3279, 0.1450], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.4677, 0.9082]. Recommendation = [0.0, 0.3279, 0.1450], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.2327, 1.1609]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.7408, 0.4046]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.1099, 0.3280]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.5205, 0.7228]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.2567, -0.0627]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.2126, 0.7481]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 1.0240, 0.1178]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.4092, -0.6715]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.8353, 0.6950]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.3930, -0.3062]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.5006, 0.5441]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.5158, 0.3306]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.1388, 0.0488]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.4342, 0.0097]. Recommendation = [0.0, -0.0534, -0.1544], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.8077, 0.8936]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.6163, 1.0259]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.0794, -0.2160]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.7562, 0.5695]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.4262, 0.4972]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.7964, 1.2557]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.2497, 1.3366]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.9247, 0.9913]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 1.0335, 0.4909]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.6636, 0.9236]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.3279, 0.1450]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, -0.1967, -0.3713]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.7899, 1.2750] = 410.7161, sampling [1.0, 0.9988, -0.5267]. Recommendation = [0.0, -0.2496, 0.0799], Current Cost = 5039.00, Rho = 1.000
