(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.9587, 0.4513]. Recommendation = [0.0, 1.3422, 0.7059], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.7997, 0.7768]. Recommendation = [0.0, 0.9587, 0.4513], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.9073, 0.6017]. Recommendation = [0.0, 0.7997, 0.7768], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.6183, 0.5758]. Recommendation = [0.0, 0.7997, 0.7768], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.7138, 0.2059]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.7659, 0.3913]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.5065, 0.3791]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.4082, -0.0507]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.7629, -0.0739]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.5242, 0.1674]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.2948, 0.1970]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.2709, -0.4038]. Recommendation = [0.0, 0.5332, 0.3100], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.5818, -0.3257]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.0219, -0.1552]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.2516, -0.1737]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.0483, -0.5043]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.3125, 0.6198]. Recommendation = [0.0, 0.6101, 0.4143], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.2034, -0.0151]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.0381, 0.2341]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.2374, 0.3548]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.5753, 0.8680]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.2054, -0.7085]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.1159, -0.3788]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.9691, 0.8996]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.6158, 0.0249]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.9815, 0.2531]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.8113, 1.0511]. Recommendation = [0.0, 0.7329, 0.6517], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.1230, 0.0082]. Recommendation = [0.0, 0.5332, 0.3100], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.2250, -0.2173]. Recommendation = [0.0, 0.9691, 0.8996], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.2968, -0.5573]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.0125, 0.4934]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.1580, -0.8056]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.7329, 0.6517]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.2881, 0.9332]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.3719, 0.4377]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.0678, -0.2381]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.1981, 0.2827]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.7898, 0.9216]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.2084, 0.1196]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.4362, -0.2706]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.6101, 0.4143]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.3607, 0.0459]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.4622, -0.5688]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.3740, 0.2568]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.5445, 1.0914]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 1.0704, 0.8340]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.0024, 0.7376]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.1504, 0.5431]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.1126, 0.3855]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, -0.0600, -0.0644]. Recommendation = [0.0, -0.0600, -0.0644], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.5555, -0.0858]. Recommendation = [0.0, 0.9691, 0.8996], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.4194, 0.5912]. Recommendation = [0.0, 0.9691, 0.8996], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 1.0448, 1.0540]. Recommendation = [0.0, 0.9691, 0.8996], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 0.8759, 1.2471]. Recommendation = [0.0, 0.9276, 0.9430], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 1.2073, 1.1548]. Recommendation = [0.0, 0.9276, 0.9430], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 1.3422, 0.7059] = 336.1551, sampling [1.0, 1.0153, 1.2269]. Recommendation = [0.0, 1.0448, 1.0540], Current Cost = 5060.00, Rho = 1.000
