(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.3050, -0.8960]. Recommendation = [0.0, -0.5304, -0.7750], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.2288, -0.6862]. Recommendation = [0.0, -0.3050, -0.8960], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0813, -0.7470]. Recommendation = [0.0, -0.2288, -0.6862], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.1603, -0.5726]. Recommendation = [0.0, -0.2288, -0.6862], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0416, -0.4535]. Recommendation = [0.0, -0.1603, -0.5726], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.2060, -0.3538]. Recommendation = [0.0, -0.0416, -0.4535], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0591, -0.2637]. Recommendation = [0.0, -0.2060, -0.3538], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0706, -0.3246]. Recommendation = [0.0, -0.0591, -0.2637], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0042, -0.0879]. Recommendation = [0.0, -0.0591, -0.2637], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.0976, -0.2571]. Recommendation = [0.0, -0.0042, -0.0879], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.0110, -0.1899]. Recommendation = [0.0, -0.0042, -0.0879], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0994, 0.0418]. Recommendation = [0.0, -0.0042, -0.0879], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.3430, -0.1504]. Recommendation = [0.0, -0.0994, 0.0418], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.1221, 0.1195]. Recommendation = [0.0, -0.0994, 0.0418], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0039, 0.0630]. Recommendation = [0.0, -0.0039, 0.0630], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0224, 0.2818]. Recommendation = [0.0, -0.0994, 0.0418], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.1954, 0.2488]. Recommendation = [0.0, -0.0994, 0.0418], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.1393, 0.0231]. Recommendation = [0.0, -0.0994, 0.0418], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.2516, 0.4011]. Recommendation = [0.0, 0.1393, 0.0231], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.0306, 0.4173]. Recommendation = [0.0, 0.1393, 0.0231], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.2997, 0.2265]. Recommendation = [0.0, 0.1393, 0.0231], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.2196, 0.0798]. Recommendation = [0.0, 0.1393, 0.0231], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.2240, 0.7256]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.3216, -0.1173]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.1348, -0.1820]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.0596, 0.3256]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.4535, 0.0391]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.2013, 0.3831]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.3469, -0.3036]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.0930, 0.5493]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.1931, -0.4343]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.4104, 0.1651]. Recommendation = [0.0, 0.1607, 0.1389], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.4305, 0.3492]. Recommendation = [0.0, 0.3165, 0.1790], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.3723, 0.5959]. Recommendation = [0.0, 0.3165, 0.1790], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.2737, 0.4957]. Recommendation = [0.0, 0.3165, 0.1790], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.3165, 0.1790]. Recommendation = [0.0, 0.3165, 0.1790], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.1904, -0.2099]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.4704, 0.4529]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.5095, -0.2014]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.1607, 0.1389]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.5104, 0.1612]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.5186, 0.0487]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.3917, -0.2195]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.4520, 0.8831]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.6099, 0.5156]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.6290, 0.6596]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.2644, 0.3322]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.7148, 0.3122]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.6565, 0.1953]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.7290, 0.5854]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.6946, 0.7868]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.6765, 0.9549]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.7949, 0.5362]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.8424, 0.6246]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.8920, 0.8228]. Recommendation = [0.0, 0.4104, 0.1651], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.9469, 0.7130]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.7911, 1.0828]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.8808, 0.4312]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.7833, 0.3431]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.0434, 0.9701]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.9811, 1.0706]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.0997, 0.8113]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.9959, 0.6053]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.9531, 1.2035]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.1201, 1.0761]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.9720, 1.1509]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.8592, 1.1987]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.5269, 0.1112]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.5584, -0.0004]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.4157, 0.4451]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.5787, 0.2904]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.2935, 0.4730]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.8279, 0.5178]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.0818, 0.6091]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.3383, -0.4495]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.6032, -0.0243]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.3038, 0.6730]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.4785, 1.1900]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.7248, 0.1051]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.5806, -0.0902]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.0411, -0.1674]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.0666, 0.6994]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.7239, 0.3043]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.4103, 0.5297]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.1138, 1.3217]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.2302, 1.1741]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.9592, 1.3116]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.2955, 0.9651]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.0786, 1.4367]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.1977, 1.4126]. Recommendation = [0.0, 0.8920, 0.8228], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.3540, 1.3942]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.2159, 1.5186]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.1457, 1.4925]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.2720, 1.5020]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.2660, 1.2175]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.1187, 1.5976]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.0247, 1.5052]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.2091, 1.6042]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.7237, 0.1737]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.0488, -0.2441]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.1772, -0.6638]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.5007, -0.3324]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.7697, 0.2081]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5107.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.2415, 0.5258]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5108.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.7468, 0.4875]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5109.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.6183, 0.6650]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5110.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.4609, 0.6334]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5111.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.1243, 0.9147]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5112.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.7856, 0.4490]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5113.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.7729, 0.6315]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5114.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.7164, 0.6830]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5115.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.5160, 0.7950]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5116.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.8563, 0.3008]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5117.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, -0.8118, -0.1544]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5118.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.5872, -0.1404]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5119.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.7522, 1.0146]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5120.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.2878, -0.4889]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5121.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.1500, -0.5035]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5122.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 0.5135, -0.3052]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5123.00, Rho = 1.000
(iter 10) [0.0, -0.5304, -0.7750] = 342.3619, sampling [1.0, 1.3959, 1.2140]. Recommendation = [0.0, 1.1977, 1.4126], Current Cost = 5124.00, Rho = 1.000
