(iter 5) [0.0, 0.4965, -0.3299] = 422.8240, sampling [0.0, 0.1546, -0.1470]. Recommendation = [0.0, 0.4965, -0.3299], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.1546, -0.1470] = 452.6657, sampling [0.0, 0.2840, -0.3425]. Recommendation = [0.0, 0.1546, -0.1470], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.1546, -0.1470] = 452.6657, sampling [0.0, -0.0961, 0.1896]. Recommendation = [0.0, 0.1546, -0.1470], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.1546, -0.1470] = 452.6657, sampling [0.0, 0.2436, 0.1639]. Recommendation = [0.0, 0.1546, -0.1470], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, -0.0715, -0.1957]. Recommendation = [0.0, 0.1580, 0.0694], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, 0.0859, 0.1106]. Recommendation = [0.0, 0.1580, 0.0694], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, -0.2839, 0.6324]. Recommendation = [0.0, 0.1580, 0.0694], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, 0.1355, 0.4887]. Recommendation = [0.0, 0.1580, 0.0694], Current Cost = 12000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, -0.4536, 0.2893]. Recommendation = [0.0, 0.1580, 0.0694], Current Cost = 13000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, -0.8106, 0.6559]. Recommendation = [0.0, 0.0064, -0.0891], Current Cost = 14000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, -0.6425, 1.0092]. Recommendation = [0.0, 0.0064, -0.0891], Current Cost = 15000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, -0.6223, 0.5179]. Recommendation = [0.0, 0.0064, -0.0891], Current Cost = 16000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, -1.1105, 0.9827]. Recommendation = [0.0, 0.0064, -0.0891], Current Cost = 17000.00, Rho = -1.230
(iter 8) [0.0, 0.2436, 0.1639] = 454.6336, sampling [0.0, -0.3565, -0.0042]. Recommendation = [0.0, 0.0064, -0.0891], Current Cost = 18000.00, Rho = -1.230
