(iter 5) [0.0, -0.4439, -0.3889] = 419.8783, sampling [0.0, -0.6464, -0.2002]. Recommendation = [0.0, -0.4439, -0.3889], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.4439, -0.3889] = 419.8783, sampling [0.0, -0.7985, -0.4492]. Recommendation = [0.0, -0.4439, -0.3889], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.4439, -0.3889] = 419.8783, sampling [0.0, -0.3785, -0.1744]. Recommendation = [0.0, -0.4439, -0.3889], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.3785, -0.1744] = 444.3099, sampling [0.0, -0.6243, 0.1465]. Recommendation = [0.0, -0.3785, -0.1744], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.6243, 0.1465] = 447.7444, sampling [0.0, -0.7522, 0.3142]. Recommendation = [0.0, -0.6243, 0.1465], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, -0.6243, 0.1465] = 447.7444, sampling [0.0, -0.5170, 0.3512]. Recommendation = [0.0, -0.6243, 0.1465], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, -0.5170, 0.3512] = 453.2954, sampling [0.0, -0.5843, 0.2624]. Recommendation = [0.0, -0.5843, 0.2624], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, -0.5170, 0.3512] = 453.2954, sampling [0.0, -0.6822, 0.5387]. Recommendation = [0.0, -0.5170, 0.3512], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, -0.5170, 0.3512] = 453.2954, sampling [0.0, -0.6185, 0.3978]. Recommendation = [0.0, -0.6185, 0.3978], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.9370, 0.5142]. Recommendation = [0.0, -0.6185, 0.3978], Current Cost = 14000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.3224, 0.2821]. Recommendation = [0.0, -0.6185, 0.3978], Current Cost = 15000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.3123, -0.0533]. Recommendation = [0.0, -0.6486, 0.4444], Current Cost = 16000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.4841, 0.6287]. Recommendation = [0.0, -0.6185, 0.3978], Current Cost = 17000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.4537, 0.4362]. Recommendation = [0.0, -0.6486, 0.4444], Current Cost = 18000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.8303, 0.6781]. Recommendation = [0.0, -0.6486, 0.4444], Current Cost = 19000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.8255, 0.4198]. Recommendation = [0.0, -0.6486, 0.4444], Current Cost = 20000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.8832, 0.2156]. Recommendation = [0.0, -0.6486, 0.4444], Current Cost = 21000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.7485, 0.5269]. Recommendation = [0.0, -0.6486, 0.4444], Current Cost = 22000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.5967, 0.8271]. Recommendation = [0.0, -0.6486, 0.4444], Current Cost = 23000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.9507, 0.7733]. Recommendation = [0.0, -0.6185, 0.3978], Current Cost = 24000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.8611, 0.9143]. Recommendation = [0.0, -0.6185, 0.3978], Current Cost = 25000.00, Rho = -1.230
(iter 13) [0.0, -0.6185, 0.3978] = 453.6571, sampling [0.0, -0.1393, 0.0858]. Recommendation = [0.0, -0.6185, 0.3978], Current Cost = 26000.00, Rho = -1.230
(iter 26) [0.0, -0.1393, 0.0858] = 454.5618, sampling [0.0, -0.2411, 0.2291]. Recommendation = [0.0, -0.1393, 0.0858], Current Cost = 27000.00, Rho = -1.230
(iter 26) [0.0, -0.1393, 0.0858] = 454.5618, sampling [0.0, -0.1637, -0.0194]. Recommendation = [0.0, -0.1393, 0.0858], Current Cost = 28000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.2040, 0.4204]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 29000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.3486, 0.3920]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 30000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.2050, -0.2191]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 31000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -1.1259, 0.6064]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 32000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.2865, -0.1473]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 33000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.0661, 0.2112]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 34000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.1266, 0.2910]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 35000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.5516, 0.5752]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 36000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.2936, 0.5982]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 37000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.9339, 0.6352]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 38000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.6633, 0.2978]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 39000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.6486, 0.4444]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 40000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.7205, 0.9653]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 41000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.9818, 0.9974]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 42000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -1.0734, 0.8602]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 43000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.8789, 1.0971]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 44000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.5308, -0.1537]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 45000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, 0.0527, -0.0869]. Recommendation = [0.0, -0.1637, -0.0194], Current Cost = 46000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, 0.0734, 0.0969]. Recommendation = [0.0, -0.1284, -0.0122], Current Cost = 47000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.0171, 0.1318]. Recommendation = [0.0, -0.1284, -0.0122], Current Cost = 48000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.0829, -0.2745]. Recommendation = [0.0, -0.1284, -0.0122], Current Cost = 49000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.0006, 0.3275]. Recommendation = [0.0, -0.1284, -0.0122], Current Cost = 50000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, 0.0947, 0.2209]. Recommendation = [0.0, -0.1284, -0.0122], Current Cost = 51000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, -0.1706, -0.3748]. Recommendation = [0.0, -0.1284, -0.0122], Current Cost = 52000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, 0.0596, -0.2457]. Recommendation = [0.0, -0.1284, -0.0122], Current Cost = 53000.00, Rho = -1.230
(iter 28) [0.0, -0.1637, -0.0194] = 454.7323, sampling [0.0, 0.1522, -0.0320]. Recommendation = [0.0, -0.1284, -0.0122], Current Cost = 54000.00, Rho = -1.230
