(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, 0.0059, -0.0389]. Recommendation = [0.0, -0.2251, -0.1227], Current Cost = 5005.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, -0.1902, 0.0335]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5006.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, 0.0587, 0.1180]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5007.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, -0.0646, 0.1646]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5008.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, -0.1659, 0.1390]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5009.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, 0.1688, -0.0503]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5010.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, 0.2319, -0.0352]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5011.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, 0.2276, -0.0674]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5012.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, 0.1200, -0.2458]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5013.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, 0.2834, -0.1340]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5014.00, Rho = 0.187
(iter 10) [0.0, -0.2251, -0.1227] = 451.7913, sampling [1.0, 0.2005, -0.2344]. Recommendation = [0.0, 0.0059, -0.0389], Current Cost = 5015.00, Rho = 0.187
