(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.7566, -0.2493]. Recommendation = [0.0, 1.0308, -0.0411], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.9461, -0.4262]. Recommendation = [0.0, 0.7566, -0.2493], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.7124, 0.0367]. Recommendation = [0.0, 0.7566, -0.2493], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.5210, -0.0462]. Recommendation = [0.0, 0.7124, 0.0367], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.6340, -0.1150]. Recommendation = [0.0, 0.5210, -0.0462], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.5564, 0.2638]. Recommendation = [0.0, 0.5210, -0.0462], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.3770, 0.1197]. Recommendation = [0.0, 0.5564, 0.2638], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.4089, 0.2948]. Recommendation = [0.0, 0.5564, 0.2638], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.5700, 0.4812]. Recommendation = [0.0, 0.5564, 0.2638], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.2850, 0.5530]. Recommendation = [0.0, 0.5564, 0.2638], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.4527, 0.4658]. Recommendation = [0.0, 0.5564, 0.2638], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.6621, 0.2789]. Recommendation = [0.0, 0.5564, 0.2638], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.0308, -0.0411] = 334.4894, sampling [1.0, 0.2439, 0.3106]. Recommendation = [0.0, 0.6228, 0.2354], Current Cost = 5017.00, Rho = 1.000
